id,text
152,Finally Maria sat down with a cup of tea and a sandwich
153,He didn't seem to mind that she was screaming in his ear
154,He drank too much at times and washed too little at times
155,He folded his arms across his chest and put out his lip
156,He had another shock when they told him he was moving cells
157,He put his hands in his pockets and leaned against the truck
158,He was built with muscle and liked to throw his weight around
159,"I am trying, old man, but I would rather kill the ship"
160,I shall have a victory and I want it to be remembered
161,In the morning Mickey stood straight with his hand behind his back
162,In the morning at breakfast Mike smiled at the letter he received
163,It had been two weeks since Philip had been sent to prison
164,It is not the most fragrant of places but we make do
165,James walked in to wake Samuel at four thirty in the morning
166,Let us give battle to these foreign snakes once and for all
167,Tommy came out of the staff room toilet looking a little pale
168,Michael knew they never hit him and that was half the problem
169,Alan told Jason he would just sit outside to have his lunch
170,Now the man is coming who will give it back to me
171,She threatened to leave before and this time she just had enough
172,The first knife caught in her skirt and she shook it free
173,The last thing Alex felt like doing after work was more work
174,The truck was an older version of the ones the others drove
175,They stared at the black wall and now this offered no comfort
176,We should talk about the things people talk about on first dates
177,"Why don't you tell me what happened on Saturday, step by step"
178,Emma put her mug of tea down on the table with a bang
179,Bruce is looking for someone to take the spare room in his flat
180,From the moment we leave this spot be very careful what you say
181,He knocked on the door so hard that he almost broke it down
182,He let Donald go and he fell to the floor with a thud
183,He smiled again and felt like a man and not just the kid
184,He's got the ability to work but he just gets bored too easy
185,I can't see any amount of talk getting you out of this mess
186,I flung out my hands and they said I had broken my wrists
187,I mostly just pick a dry white and drink it to get drunk
188,Andy felt good when he got ready to go out on Saturday night
189,Billy knocked on the door and waited till he was told to enter
190,Bob sat at the entrance to the warehouse and made up a cigarette
191,Brian sat down at an empty table and began to eat his breakfast
192,One by one she placed her teeth about their necks and killed them
193,The shout caught him off guard and he fell back a little way
194,He rose from his seat and stopped mid way when Joe glared at him
195,He sat his son up on the table and laid his belt beside him
196,If I have time at the end I'll fill you in on what happened
197,Henry washed his hands and sat on the seat in front of the stove
198,The police officer got out of the van and picked up the two cans
199,The speaker turned to her with a smile and a bow of his head
200,They say he can breathe fire and kill a man with a single word
201,He came back to his senses when he heard his dad stand up to him
202,He was already up and dressed and invited us in for a cup of tea
203,I know Richard drinks a little too much and has a bit of a temper
204,If this were a movie instead of a book this would be a good bit
205,James was only in the cell for an hour but it felt like a week
