id,surprisal,entropy,deviation,tokens
21,[8.31575155 8.49395275 2.18249273 7.13934565 9.70890808 0.40928942],[6.76311779 5.29967308 4.2551055  5.02585697 2.49025607 1.9678247 ],[-0.54311466  3.19427967 -2.07261276  2.11348867  7.21865177 -1.55853534],"[""He's"" 'broken' 'his' 'wrists' 'very' 'badly']"
22,[4.05731678 2.84569001 9.70868492 6.61196518 5.97275591 8.02162743],[6.76311779 4.73105574 5.2341013  1.86183238 0.80621666 1.8537513 ],[-2.70580101 -1.88536572  4.47458363  4.75013256  5.16653919  6.16787624],['I' 'am' 'touched' 'deeply' 'in' 'places']
23,[4.05731678 3.55706994 2.97358179 0.14551075 4.26466274 2.31159019],[6.76311779 4.73105574 3.18164968 0.9807924  5.08577728 3.35492301],[-2.70580101 -1.17615056 -0.20806789 -0.83528167 -0.82111454 -1.04333282],"['I' ""don't"" 'want' 'to' 'hear' 'it']"
24,[4.05731678 6.25057411 1.99051154 7.55244637 6.87744999 0.86640567],[6.76311779 4.73105574 4.31394577 2.69143128 3.90816689 4.19831181],[-2.70580101  1.51951838 -2.32343435  4.86101532  2.9692831  -3.33190608],['I' 'knew' 'I' 'heard' 'your' 'voice']
25,[4.05731678 6.84878095 3.30598664 0.29225373 4.53863907 1.41210341],[6.76311779 4.73105574 4.05242777 1.62998497 4.10834885 3.74491215],[-2.70580101  2.11659575 -0.74644113 -1.33773124  0.43029022 -2.33280873],"['I' ""wouldn't"" 'want' 'to' 'miss' 'this']"
26,[8.01058865 9.87538052 2.36040449 0.47808629 0.69401824 2.24563265],[6.76311779 6.27433538 3.21533179 1.67144847 3.23129463 6.0850563 ],[ 1.24747086  3.60104513 -0.8549273  -1.19336224 -2.53727627 -3.83942366],['Jack' 'walked' 'up' 'to' 'the' 'door']
27,[9.35612869 9.74821854 4.2260952  1.8324753  1.82270885 9.0438987 ],[6.76311779 6.02265167 2.80566168 2.40983438 2.72852159 5.62763882],[ 2.5930109   3.72556686  1.42043352 -0.57735908 -0.90581274  2.45683479],['Ross' 'sat' 'back' 'down' 'and' 'shivered']
28,[6.82715225 6.88815909 2.60470271 7.34937859 6.40593529 7.79640484],[6.76311779 5.17843676 4.54460096 2.09781075 4.48757792 3.99355507],[ 0.06403446  1.70857382 -1.93989825  5.25156784  1.91835737  3.80284977],"['She' ""couldn't"" 'help' 'feel' 'for' 'Alex']"
29,[ 2.68723798 12.67081261  5.90244579  6.41484642  5.56084347  6.49911308],[6.76311779 8.41159058 6.79017496 6.86151409 5.68389034 5.78167343],[-4.07588005  4.25922203 -0.88772917 -0.44666767 -0.12304688  0.71743965],['The' 'bored' 'looking' 'soldier' 'just' 'pointed']
30,[2.68723798 7.53587055 4.78834963 5.68182135 0.95367205 4.37327337],[6.76311779 8.41159058 4.04523849 4.5468874  3.80607176 5.39227915],[-4.07588005 -0.87572002  0.74311113  1.13493395 -2.85239983 -1.01900578],['The' 'campaign' 'will' 'pay' 'for' 'itself']
31,[8.83879423 8.22848415 3.312361   5.96648979 4.61578369 4.48367691],[6.76311779 6.1303463  3.76701784 3.02561712 5.42597008 4.41514301],[ 0.01136112  2.09813786 -0.45465684  2.94087267 -0.81018639  0.0685339 ],"[""They're"" 'riding' 'out' 'to' 'meet' 'them']"
32,[4.8400259  9.85684109 4.51560783 1.81655395 0.10770742 0.07050186],[6.76311779 4.58979988 4.35772133 3.86265016 0.74031258 0.63689595],[-1.92309189  5.26704121  0.15788651 -2.04609632 -0.63260514 -0.56639409],['We' 'barely' 'escaped' 'with' 'our' 'lives']
33,[7.08407283 1.93611634 8.99390316 6.91058207 4.7821517  4.315557  ],[6.76311779 4.0764308  5.39336348 3.79527903 3.42317367 1.68826258],[-1.92309189 -2.14031458  3.60053968  3.11530304  1.35897803  2.62729454],"[""We've"" 'been' 'travelling' 'almost' 'three' 'days']"
34,"[9.76346111 3.56084323 5.23488855 0.5294739  6.96343231 0.57825261
 1.56733608]","[6.76311779 6.46366453 4.21883678 1.77999389 3.44451237 2.56950498
 4.16499615]","[ 3.00034332 -2.9028213   1.01605177 -1.25051999  3.51891994 -1.99125242
 -2.59766006]",['Alice' 'is' 'looking' 'for' 'somewhere' 'to' 'live']
35,"[ 9.06268501 13.56827927  0.4972814   7.61012506  5.47802353  2.88408709
  0.33709601]","[6.76311779 6.52488041 2.13823009 5.25627327 3.69530678 3.06138444
 1.24944341]","[ 2.29956722  7.04339886 -1.64094865  2.3538518   1.78271675 -0.17729735
 -0.91234744]",['Alan' 'forgot' 'to' 'shave' 'again' 'this' 'morning']
36,"[ 7.20397854  2.66726208 10.85472965 10.16767311  1.76609755  4.96356106
  8.12891674]","[6.76311779 1.62594676 5.79503965 4.63293028 2.62920904 1.63701773
 3.42626762]","[ 0.44086075  1.04131532  5.05969     5.53474283 -0.8631115   3.32654333
  4.70264912]",['Have' 'a' 'carriage' 'sent' 'for' 'us' 'immediately']
37,"[6.22000313 6.87493181 2.73089352 2.30167127 3.89744949 0.5448854
 0.84865654]","[6.76311779 5.22920847 4.40901613 3.64113474 1.96607125 2.64812803
 3.01271462]","[-0.54311466  1.64572334 -1.67906952 -1.33946347  1.93137825 -2.10324264
 -2.16405821]","['He' 'probably' ""doesn't"" 'want' 'people' 'to' 'know']"
38,"[6.22000313 7.36857939 2.00253463 8.20242977 2.59137869 0.7546916
 1.32469141]","[6.76311779 5.22920847 3.89371538 7.90445518 2.20460057 2.0462203
 3.04574299]","[-0.54311466  2.13937092 -1.89118075  0.29797459  0.38677812 -1.2915287
 -1.72105157]",['He' 'put' 'the' 'fork' 'on' 'the' 'table']
39,"[8.66891766 3.6286962  4.05806589 6.26998806 2.06584072 1.46465135
 6.17011595]","[6.76311779 4.08460808 2.37286663 2.57247329 2.63145971 3.43559575
 4.79715538]","[-2.70580101 -0.45591187  1.68519926  3.69751477 -0.56561899 -1.9709444
  1.37296057]","[""I'll"" 'give' 'him' 'more' 'than' 'a' 'slap']"
40,"[ 7.69221306 12.39577866  2.27366877  4.83215904  7.47030354  0.12230171
  5.1697917 ]","[6.76311779 6.20773029 2.97637248 5.11611652 1.74795997 0.6774112
 3.37352753]","[ 0.92909527  6.18804836 -0.70270371 -0.28395748  5.72234344 -0.5551095
  1.79626417]",['Andrew' 'nodded' 'and' 'stood' 'against' 'the' 'counter']
41,"[9.13183498 0.11681873 3.11820459 8.18742943 9.14275551 1.79701579
 0.19502614]","[6.76311779 0.89574671 5.71118355 7.21236229 2.46493483 3.83738065
 1.52636683]","[ 2.36871719 -0.77892798 -2.59297895  0.97506714  6.67782068 -2.04036474
 -1.33134067]",['Looks' 'like' 'a' 'walk' 'did' 'the' 'trick']
42,"[7.87105751 9.49751854 7.16149044 2.97695351 0.52410007 4.92852926
 3.23313403]","[6.76311779 5.90920115 4.70032167 2.6216836  2.59166193 4.78695011
 2.52002716]","[ 1.10793972  3.58831739  2.46116877  0.35526991 -2.06756186  0.14157915
  0.71310687]",['Sam' 'felt' 'proud' 'when' 'he' 'went' 'home']
43,"[8.11380386 9.3158493  3.80519915 1.63033676 6.76330853 0.49115586
 6.66879988]","[6.76311779 5.77489185 4.58874464 3.250494   5.04952621 1.54197848
 2.07844067]","[ 1.35068607  3.54095745 -0.78354549 -1.62015724  1.71378231 -1.05082262
  4.59035921]",['Scott' 'got' 'up' 'and' 'washed' 'his' 'plate']
44,"[ 9.21389294 12.43883514  2.35629368  4.36577702  3.25619006  0.18760133
  2.60322881]","[6.76311779 6.77957249 2.94690418 5.34280109 3.29317641 1.11654186
 5.87812138]","[ 2.45077515  5.65926266 -0.5906105  -0.97702408 -0.03698635 -0.92894053
 -3.27489257]",['Simon' 'nodded' 'and' 'walked' 'into' 'the' 'room']
45,"[ 7.67533398 11.73587894  0.86372203  2.96256399  4.87262774  1.69948232
  1.29417324]","[6.76311779 6.44489765 2.53575706 1.19176269 4.14027643 3.11505485
 4.29558563]","[ 0.91221619  5.29098129 -1.67203498  1.77080131  0.7323513  -1.41557252
 -3.00141239]",['Steve' 'sat' 'down' 'to' 'eat' 'his' 'lunch']
46,"[8.71004105e+00 1.23047352e+01 2.13043118e+00 7.32254076e+00
 3.32824498e-01 2.33141899e+00 3.86491604e-03]","[6.76311779 3.46546841 3.15591002 4.71049881 1.31690919 1.67557573
 0.04105047]","[ 1.94692326  8.83926678 -1.02547884  2.61204195 -0.98408473  0.65584326
 -0.03718556]",['Ted' 'smiled' 'and' 'bit' 'his' 'bottom' 'lip']
47,"[ 8.485919   11.4209404   3.25857019  1.92224765  5.06231546  0.07180559
  0.04542925]","[6.76311779 6.79636097 2.95724297 2.9169426  5.33362103 0.51183534
 0.4282456 ]","[ 1.72280121  4.62457943  0.30132723 -0.99469495 -0.27130556 -0.44002974
 -0.38281634]",['Thomas' 'stepped' 'back' 'and' 'shook' 'his' 'head']
48,"[ 7.40195751 11.92358589  2.28072929  1.28280497  5.30077028  1.120345
  8.33545494]","[6.76311779 5.93350935 3.45313072 2.75612998 5.21171474 1.67623913
 4.0318203 ]","[ 0.63883972  5.99007654 -1.17240143 -1.47332501  0.08905554 -0.55589414
  4.30363464]",['Tom' 'stood' 'up' 'and' 'wiped' 'his' 'jeans']
49,"[ 8.71224308 12.75887394  5.35821962  0.99931514  3.06209779  5.59342766
  8.60755825]","[6.76311779 5.12541485 4.68712807 2.08115768 4.49686289 4.64053822
 7.51021051]","[ 1.94912529  7.63345909  0.67109156 -1.08184254 -1.4347651   0.95288944
  1.09734774]",['Tony' 'stopped' 'off' 'at' 'his' 'first' 'delivery']
50,"[10.00253582  5.94712925  5.98770714  0.62975496  5.98436069  5.52086353
  3.51161742]","[6.76311779 3.16982889 4.50692177 2.89517784 5.42731142 4.59625626
 3.91800785]","[ 3.23941803  2.77730036  1.48078537 -2.26542282  0.55704927  0.92460728
 -0.40639043]",['Normally' 'they' 'want' 'to' 'cut' 'things' 'up']
51,"[10.21149731  6.51088333  2.00517201  5.0027504   1.31682347  7.51485348
  3.88790607]","[6.76311779 8.01052475 6.18256664 6.88759518 0.70196414 5.97731876
 3.87609053]","[ 1.68406296 -1.49964142 -4.17739487 -1.88484478 -0.608302    1.53753471
  0.01181555]","['Powerful' 'in' 'the' 'wrong' 'hands,' 'is' 'that']"
52,"[6.82715225 4.00470829 7.81306648 0.30163267 3.39233732 1.23943925
 1.72798634]","[6.76311779 5.17843676 4.90732908 1.80116224 5.25692892 3.15843105
 5.26457691]","[ 0.06403446 -1.17372847  2.9057374  -1.4995296  -1.8645916  -1.9189918
 -3.53659058]",['She' 'had' 'refused' 'to' 'leave' 'her' 'home']
53,"[ 6.82715225  9.39666557  2.19560432  7.87448788  3.21115875 10.6144619
  5.44873333]","[6.76311779 5.17843676 3.50940895 7.46620798 3.18880248 6.30608654
 3.30210686]","[ 0.06403446  4.21822882 -1.31380463  0.4082799   0.02235627  4.30837536
  2.14662647]",['She' 'hid' 'the' 'boxes' 'and' 'matches' 'well']
54,"[ 2.68723798 12.67081261  5.90244579  6.41484642  7.77075958  5.02412653
  6.32704258]","[6.76311779 8.41159058 6.79017496 6.86151409 5.68389034 2.90641785
 2.67202568]","[-4.07588005  4.25922203 -0.88772917 -0.44666767  2.08686924  2.11770868
  3.6550169 ]",['The' 'bored' 'looking' 'soldier' 'continued' 'looking' 'bored']
55,"[2.68723798 9.11566353 6.43708324 3.52852869 7.97613811 2.0258441
 0.0369305 ]","[6.76311779 8.41159058 5.31178379 2.75141716 3.59846783 3.23021507
 0.37795854]","[-4.07588005  0.70407295  1.12529945  0.77711153  4.37767029 -1.20437098
 -0.34102803]",['The' 'dead' 'must' 'not' 'kill' 'the' 'living']
56,"[2.68723798 9.57374573 4.28672981 7.72103786 5.2619524  0.39054611
 4.50209236]","[6.76311779 8.41159058 5.71383953 4.18327808 3.26237345 1.91329813
 5.94811249]","[-4.07588005  1.16215515 -1.42710972  3.53775978  1.99957895 -1.52275205
 -1.44602013]",['The' 'prison' 'guard' 'walked' 'along' 'the' 'row']
57,"[ 2.68723798 10.47378826  2.74656177  7.40661716 11.40529585  6.18707323
  4.49068928]","[6.76311779 8.41159058 5.37917233 5.73177958 5.74211788 4.46387959
 2.25505733]","[-4.07588005  2.06219769 -2.63261056  1.67483759  3.47811413  1.72319365
  2.23563194]","['The' 'van' 'is' 'your' 'lead,' 'follow' 'that']"
58,"[8.36668253 5.20925856 5.67477179 2.58418584 2.18963766 0.08299448
 0.04042168]","[6.76311779 5.20086002 4.98066044 3.0170238  2.94855833 0.69654858
 0.35146505]","[-1.43773174  0.00839853  0.69411135 -0.43283796 -0.75892067 -0.61355412
 -0.31104338]","[""You're"" 'getting' 'up' 'early' 'in' 'the' 'morning']"
59,"[ 5.59084034  8.5797739   6.09593153  3.0850563   4.01364231  1.89889789
  1.63604188 12.09672165]","[6.76311779 5.77079582 3.00493813 5.3716116  6.13265896 2.71597767
 2.23839045 2.41770649]","[-1.17227745  2.80897808  3.0909934  -2.28655529 -2.11901665 -0.81707978
 -0.60234857  9.67901516]",['After' 'lunch' 'he' 'was' 'told' 'he' 'had' 'visitors']
60,"[ 9.01853275 11.55944061  5.40586901 11.23520756  7.50776434  1.98888135
  0.36625746  0.02305185]","[6.76311779 2.96515369 3.45721245 3.36540508 4.67636871 4.45700073
 2.35192037 0.16419667]","[ 2.25541496  8.59428692  1.94865656  7.86980247  2.83139563 -2.46811938
 -1.98566294 -0.14114481]",['Albert' 'spoke' 'before' 'Barbara' 'had' 'a' 'chance' 'to']
61,"[8.41957283 9.44873619 1.71857905 3.99798083 6.15691948 5.14196348
 0.43517673 7.42087364]","[6.76311779 4.71473265 4.39658976 7.65197992 0.39072084 4.6682868
 2.34419012 6.43853951]","[ 1.65645504  4.73400354 -2.6780107  -3.65399909  5.76619864  0.47367668
 -1.90901339  0.98233414]",['Come' 'within' 'the' 'walls' 'to' 'escape' 'the' 'enemy']
62,"[7.68005276 2.94945002 9.85508347 2.3554616  3.96741343 3.02325821
 6.83180714 7.66292095]","[6.76311779 3.68261814 1.43538511 3.5814755  3.85848188 3.09644604
 4.95895481 7.57639313]","[ 0.91693497 -0.73316813  8.41969872 -1.2260139   0.10893154 -0.07318783
  1.87285233  0.08652782]",['Follow' 'me' 'closely' 'and' 'watch' 'for' 'their' 'leader']
63,"[6.22000313 5.68732643 3.75235248 9.42756271 3.33360696 2.9630909
 0.05138449 4.39955473]","[6.76311779 5.22920847 4.26209354 5.28137636 4.86978245 4.10678101
 0.36890829 3.63599777]","[-0.54311466  0.45811796 -0.50974107  4.14618635 -1.53617549 -1.14369011
 -0.31752381  0.76355696]",['He' 'called' 'out' 'but' 'she' 'did' 'not' 'move']
64,"[6.22000313 7.1049571  1.5981977  2.55290365 3.12480402 0.53230608
 4.07611227 6.1225009 ]","[6.76311779 5.22920847 3.53288317 2.75763464 5.59028435 2.95030284
 5.22435856 2.80761623]","[-0.54311466  1.87574863 -1.93468547 -0.20473099 -2.46548033 -2.41799688
 -1.14824629  3.31488466]",['He' 'sat' 'down' 'and' 'began' 'to' 'eat' 'breakfast']
65,"[ 6.22000313  9.49666595  1.0032444   7.63239193  2.10127306  0.89415294
  0.35929477 10.60528278]","[6.76311779 5.22920847 4.60858536 7.4441781  2.91828537 2.51399279
 1.58894444 5.64886665]","[-0.54311466  4.26745749 -3.60534096  0.18821383 -0.81701231 -1.61983991
 -1.22964966  4.95641613]",['He' 'slammed' 'the' 'knife' 'down' 'on' 'the' 'lamb']
66,"[ 6.22000313 11.47180939  2.51123691  0.43665323  7.35747337  3.56552696
  2.23903275  1.5385325 ]","[6.76311779 5.22920847 3.89095306 2.24593878 6.2438879  3.12568569
 3.30276132 5.2072072 ]","[-0.54311466  6.24260092 -1.37971616 -1.80928552  1.11358547  0.43984127
 -1.06372857 -3.66867471]",['He' 'staggered' 'into' 'the' 'chair' 'at' 'his' 'desk']
67,"[ 4.05731678  5.36277771  0.58643293 10.7058506   1.64149177  7.42809582
  7.05859709 11.28120422]","[6.76311779 4.73105574 2.79102015 4.18923187 4.49356604 7.95467615
 3.23665237 3.40909529]","[-2.70580101  0.63172197 -2.20458722  6.51661873 -2.85207415 -0.52658033
  3.82194471  7.87210894]",['I' 'do' 'not' 'spare' 'the' 'birds' 'a' 'killing']
68,"[ 4.05731678  3.86638904  5.97545862 10.03623915 10.37693119  1.00437713
  5.12895679  4.42671871]","[6.76311779 4.73105574 3.93264246 7.50951385 7.55009937 3.30512285
 5.58092356 2.74633622]","[-2.70580101 -0.8646667   2.04281616 -2.35553503  2.82683182 -2.30074573
 -0.45196676  1.68038249]","['I' 'think' 'our' ""friend's"" 'demands' 'are' 'well' 'justified']"
69,"[6.7375946  2.76818013 6.61825657 5.71377468 5.71202564 2.3352437
 2.15806532 1.44592071]","[6.76311779 1.76306784 4.9831543  3.46723056 7.65631866 6.53444624
 3.35938931 3.92837381]","[-0.02552319  1.00511229  1.63510227  2.24654412 -1.94429302 -4.19920254
 -1.20132399 -2.48245311]",['Let' 'us' 'leave' 'these' 'poor' 'people' 'in' 'peace']
70,"[ 9.84015977 11.810112    1.28307104  2.05358434  2.20150137  4.00760698
  0.9260602   3.38233566]","[6.76311779 6.48378754 2.53808308 6.73027325 2.76810074 5.34813118
 2.66364861 2.78805184]","[ 1.9876709   5.32632446 -1.25501204 -4.67668915 -0.56659937 -1.3405242
 -1.73758841  0.59428382]",['Walter' 'closed' 'the' 'door' 'and' 'took' 'a' 'breath']
71,"[ 8.76363182 11.96240902  1.61869991  2.51069045  8.58059597  2.62857556
  0.89181513  2.87310457]","[6.76311779 6.64083147 3.34826565 2.70215607 5.48780251 2.56026602
 1.748595   5.62352514]","[ 2.00051403  5.32157755 -1.72956574 -0.19146562  3.09279346  0.06830955
 -0.85677987 -2.75042057]",['William' 'sat' 'down' 'and' 'tucked' 'into' 'his' 'breakfast']
72,"[10.80384099 10.61402225  5.39949751  0.52815664  0.96855009  5.15595818
  6.76163483  0.41999397]","[6.76311779 3.16554451 3.58183789 2.62345648 5.25400352 2.74138713
 4.79251099 1.14236319]","[ 2.52031612  7.44847775  1.81765962 -2.09529972 -4.28545332  2.41457105
  1.96912384 -0.72236919]",['Alec' 'stood' 'against' 'the' 'wall' 'to' 'steady' 'himself']
73,"[12.53339839  5.17399597  3.74652171  7.37294579  4.9305315   5.85799789
  1.83680248  5.54180193]","[6.76311779 4.42879581 4.31861687 4.84610033 3.32672691 2.68919635
 4.33658886 7.17135143]","[-0.44304943  0.74520016 -0.57209516  2.52684546  1.60380459  3.16880155
 -2.49978638 -1.6295495 ]",['No-one' 'else' 'had' 'dared' 'step' 'within' 'the' 'ring']
74,"[ 8.81814194  0.44292882  0.75131619  7.48740673  8.91782856 10.44191265
  2.08382797  1.64829266]","[6.76311779 1.78706956 2.27011132 7.49257278 1.18518424 5.11669159
 3.29483557 5.21605682]","[ 2.05502415e+00 -1.34414077e+00 -1.51879513e+00 -5.16605377e-03
  7.73264408e+00  5.32522106e+00 -1.21100760e+00 -3.56776428e+00]",['None' 'of' 'the' 'city' 'people' 'dress' 'like' 'that']
75,"[ 6.82715225  7.40070534  1.63421464 11.84708691  1.93926549  2.28378677
  1.59805703  0.29291007]","[6.76311779 5.17843676 4.41955805 7.93873549 3.8148191  4.15652943
 3.36463356 1.55578947]","[ 0.06403446  2.22226858 -2.78534341  3.90835142 -1.87555361 -1.87274265
 -1.76657653 -1.26287937]",['She' 'saw' 'the' 'throwing' 'knife' 'in' 'his' 'hand']
76,"[6.82715225 2.31399179 7.27182579 3.92247534 1.24943447 6.3304801
 8.63462734 4.11562347]","[6.76311779 5.17843676 5.91816044 3.55451894 3.19956613 6.58782864
 5.9114275  4.47744751]","[ 0.06403446 -2.86444497  1.35366535  0.3679564  -1.95013165 -1.50692511
  2.72319984 -0.36182404]","['She' 'was' 'smiling' 'in' 'the' 'dark,' 'teeth' 'flashing']"
77,"[10.44990921  4.19626713  8.85426903 13.04110718  0.25598723  1.16465926
  4.99563694  0.60042   ]","[6.76311779 3.01549411 4.09767056 2.88159561 1.29673302 3.05257607
 4.94751835 1.79743361]","[ 3.68679142  1.18077302  4.75659847 10.15951157 -1.04074574 -1.8879168
  0.04811859 -1.19701362]",['Shut' 'your' 'smart' 'foul' 'mouth' 'and' 'sit' 'down']
78,"[9.04085445 2.03369284 2.60533953 6.22796869 1.00213933 2.02640867
 1.81953216 7.74762487]","[6.76311779 3.11767817 3.43537974 2.59249687 3.29268265 3.39783812
 5.9811697  8.1761837 ]","[ 2.27773666 -1.08398533 -0.83004022  3.63547182 -2.29054332 -1.37142944
 -4.16163731 -0.42855883]",['Tell' 'me' 'what' 'really' 'happened' 'to' 'the' 'truck']
79,"[2.68723798 8.94612312 2.62238955 2.75392938 2.35715127 9.11551094
 4.49499321 2.55523014]","[6.76311779 8.41159058 3.9222095  4.51696587 3.35834336 5.11014843
 6.8653183  1.51280642]","[-4.07588005  0.53453255 -1.29981995 -1.76303649 -1.00119209  4.00536251
 -2.37032509  1.04242373]",['The' 'door' 'was' 'opened' 'and' 'Alexander' 'walked' 'out']
80,"[ 5.19362259  3.47640729 13.97382641  4.16788197  1.26377392  3.38536382
  0.81261533  6.27686977]","[6.76311779 2.04598904 5.16071177 4.81769753 2.55975866 5.80964708
 2.42858052 2.7975316 ]","[-1.5694952   1.43041825  8.81311417 -0.64981556 -1.29598475 -2.42428327
 -1.61596513  3.47933817]",['There' 'were' 'choked' 'screams' 'and' 'shouts' 'of' 'dismay']
81,"[ 5.19362259  4.49222279  0.19640224  8.61512756  5.70299721  4.84677076
 10.39794159  2.61069226]","[6.76311779 2.04598904 1.06945395 3.87216043 3.83769274 5.69369316
 3.16062307 4.82313013]","[-1.5694952   2.44623375 -0.8730517   4.74296713  1.86530447 -0.8469224
  7.23731852 -2.21243787]",['There' 'will' 'be' 'men' 'to' 'kill' 'either' 'way']
82,"[6.77447891 2.79771471 7.4132967  7.66644478 2.03120279 8.22349739
 0.48295391 2.74424696]","[6.76311779 4.54126167 6.55187464 5.79706717 3.17186165 2.77479863
 2.11125827 5.98245144]","[ 0.01136112 -1.74354696  0.86142206  1.86937761 -1.14065886  5.448699
 -1.62830436 -3.23820448]",['They' 'were' 'definitely' 'holding' 'hands' 'underneath' 'the' 'table']
