id,surprisal,entropy,deviation,tokens
11,[8.31316948 3.18388152 9.38114548 2.00385141 5.64070082],[6.00219822 4.0472641  7.41534901 3.68265152 2.50189304],[ 2.31097126 -0.86338258  1.96579647 -1.67880011  3.13880777],['Turn' 'your' 'hearing' 'aid' 'up']
12,[8.52018237 9.06132889 5.88002157 3.52828836 1.8390193 ],[6.00219822 3.73365068 5.3859868  2.86442542 4.02633286],[-1.17105389  5.3276782   0.49403477  0.66386294 -2.18731356],"[""You'll"" 'demand' 'nothing' 'of' 'me']"
13,[3.13015556 8.56880093 3.34019923 7.14886665 1.17554617 5.65866089],[6.00219822 7.76302338 5.84541321 3.68635988 4.02537107 6.80162334],[-2.87204266  0.80577755 -2.50521398  3.46250677 -2.84982491 -1.14296246],['A' 'horse' 'has' 'thrown' 'a' 'shoe']
14,[ 3.13015556 11.09825039  4.39698172  6.67326212  6.56185246  5.97021627],[6.00219822 7.76302338 4.72187519 5.49821424 3.82367516 2.4328804 ],[-2.87204266  3.33522701 -0.32489347  1.17504787  2.7381773   3.53733587],['A' 'tube' 'train' 'took' 'his' 'legs']
15,[8.79939079 8.62438107 1.18080771 9.37147141 2.94858003 9.05748844],[6.00219822 6.30952072 4.54423237 6.32367706 3.23216462 6.06592846],[ 2.79719257  2.31486034 -3.36342478  3.04779434 -0.28358459  2.99155998],['Five' 'will' 'be' 'listening' 'for' 'sure']
16,[10.56504631  9.22275352  2.76419449  5.34388638  5.47446871  2.35145545],[6.00219822 6.16161108 5.11879635 5.66361809 4.76692295 3.35074902],[ 4.56284809  3.06114244 -2.35460186 -0.31973171  0.70754576 -0.99929357],['Gordon' 'felt' 'his' 'anger' 'build' 'up']
17,[8.58461571 8.93819618 1.78717399 2.03267431 4.76014805 1.39559662],[6.00219822 5.19258595 3.51860285 3.1158638  5.62909889 3.61308432],[ 2.58241749  3.74561024 -1.73142886 -1.08318949 -0.86895084 -2.21748781],['Harry' 'smiled' 'at' 'his' 'little' 'brother']
18,[ 5.44238853  7.92846346 11.46188831  1.56431627  2.28385901  1.86927199],[6.00219822 5.34632206 4.11998796 3.49626923 4.41487217 6.39795589],[-0.55980968  2.5821414   7.34190035 -1.93195295 -2.13101315 -4.52868366],['He' 'needed' 'putting' 'in' 'his' 'place']
19,[ 5.44238853  9.70186234  3.61183167  5.0164628  11.10004902  4.30915928],[6.00219822 5.34632206 3.8958714  5.34861851 7.0014019  5.64475012],[-0.55980968  4.35554028 -0.28403974 -0.3321557   4.09864712 -1.33559084],['He' 'shouted' 'and' 'the' 'calling' 'ceased']
20,[5.44238853 7.05942965 2.06966329 8.17709255 4.95216608 5.50610971],[6.00219822 5.34632206 5.33125353 7.65980577 3.00976801 4.86780262],[-0.55980968  1.71310759 -3.26159024  0.51728678  1.94239807  0.63830709],['He' 'uses' 'his' 'belt' 'on' 'you']
21,[7.55861521 8.33654785 2.53260922 6.43673325 9.35836887 1.34204042],[6.00219345 5.78660583 4.86484051 4.95503426 3.15165043 3.23804617],[-0.5598135   2.54994202 -2.33223128  1.48169899  6.20671844 -1.89600575],"[""He's"" 'broken' 'his' 'wrists' 'very' 'badly']"
22,[4.00244713 2.8918891  9.41895866 5.22996521 5.61183262 8.6911459 ],[6.00219822 4.93950558 5.65959597 2.07548141 1.25461245 4.21983242],[-1.99975109 -2.04761648  3.7593627   3.1544838   4.35722017  4.47131348],['I' 'am' 'touched' 'deeply' 'in' 'places']
23,[4.00243855 3.57527212 2.99684095 0.23964006 4.23799133 2.44437408],[6.00219345 4.93950462 3.25233126 1.54461586 5.27808571 3.52774096],[-1.99975491 -1.3652935  -0.2554903  -1.30497575 -1.04009438 -1.08336687],"['I' ""don't"" 'want' 'to' 'hear' 'it']"
24,[4.00244713 6.02245855 1.73702538 7.48774147 5.62261438 1.18718815],[6.00219822 4.93950558 4.41104794 2.72370696 3.60154128 5.00786972],[-1.99975109  1.08295298 -2.67402267  4.76403427  2.0210731  -3.82068157],['I' 'knew' 'I' 'heard' 'your' 'voice']
25,[4.00243855 6.6097222  3.42500424 0.34106475 4.53721905 1.37396538],[6.00219345 4.93950462 4.43706512 1.84365523 5.0074749  3.91643143],[-1.99975491  1.66988564 -1.01206088 -1.50259042 -0.47025585 -2.54246616],"['I' ""wouldn't"" 'want' 'to' 'miss' 'this']"
26,[ 8.29219627 11.42370415  2.36749077  0.39506343  1.04644465  1.96463954],[6.00219822 6.47813988 3.45147753 1.46368027 4.69130087 6.31592274],[ 2.28999805  4.94556427 -1.08398676 -1.06861687 -3.64485621 -4.35128307],['Jack' 'walked' 'up' 'to' 'the' 'door']
27,[10.09364796  8.70499229  3.29282904  2.6523385   1.64061093  8.91459203],[6.00219345 6.41585445 2.90705299 2.52660108 2.84798217 5.45503712],[ 4.09145451  2.28913784  0.38577604  0.12573743 -1.20737123  2.37367153],['Ross' 'sat' 'back' 'down' 'and' 'shivered']
28,[6.78605366 6.18642311 2.63620377 8.53938675 5.8707304  7.40571117],[6.00219345 5.32598639 4.72561073 1.69631267 4.9399519  5.03138447],[ 0.78386021  0.86005259 -2.08940697  6.84307384  0.9307785   2.37432671],"['She' ""couldn't"" 'help' 'feel' 'for' 'Alex']"
29,[ 2.12142754 13.19147491  5.24586058  6.45273304  5.68963242  7.67841244],[6.00219822 8.55646038 7.36055756 8.01899529 6.08211994 5.86694622],[-3.88077068  4.63501453 -2.11469698 -1.56626225 -0.39248753  1.81146622],['The' 'bored' 'looking' 'soldier' 'just' 'pointed']
30,[2.12142754 7.53064775 4.40977478 5.59110832 1.00809002 3.55554819],[6.00219822 8.55646038 4.4688406  4.89681721 3.94307113 5.87028503],[-3.88077068 -1.02581263 -0.05906582  0.69429111 -2.93498111 -2.31473684],['The' 'campaign' 'will' 'pay' 'for' 'itself']
31,[8.23765779 7.6072979  3.5418458  4.21501684 4.34251404 4.22205591],[6.00219345 6.5341711  4.09216595 4.20737457 6.02264738 5.27772713],[ 0.1613245   1.07312679 -0.55032015  0.00764227 -1.68013334 -1.05567122],"[""They're"" 'riding' 'out' 'to' 'meet' 'them']"
32,[4.38625145 9.21681976 5.70596266 2.79376984 1.54653645 0.68485379],[6.00219822 4.77591324 4.31338024 4.58993483 3.42011786 4.00096273],[-1.61594677  4.44090652  1.39258242 -1.79616499 -1.87358141 -3.31610894],['We' 'barely' 'escaped' 'with' 'our' 'lives']
33,[6.66307187 2.03014922 8.48531532 6.82452965 5.00233555 3.64527464],[6.00219345 4.50216103 5.88521099 3.48490715 4.52134323 2.057235  ],[-1.61594677 -2.4720118   2.60010433  3.3396225   0.48099232  1.58803964],"[""We've"" 'been' 'travelling' 'almost' 'three' 'days']"
34,"[9.91296101 3.26827145 4.95999622 0.70296222 7.30950356 0.42134976
 1.68656397]","[6.00219345 6.57023811 5.94640446 2.36481547 4.55622482 2.28939104
 4.25059509]","[ 3.91076756 -3.30196667 -0.98640823 -1.66185331  2.75327873 -1.86804128
 -2.56403112]",['Alice' 'is' 'looking' 'for' 'somewhere' 'to' 'live']
35,"[ 9.07075977 14.92610359  1.19121444  6.15067101  5.29652882  3.64178705
  1.0877012 ]","[6.00219345 6.8512969  3.45638227 5.06686401 3.62152314 3.21345949
 2.27570105]","[ 3.06856632  8.07480621 -2.26516771  1.08380699  1.67500567  0.42832756
 -1.18799984]",['Alan' 'forgot' 'to' 'shave' 'again' 'this' 'morning']
36,"[ 7.48714542  2.49567413 10.93489075  8.87403965  3.30169582  5.04351234
  8.8339901 ]","[6.00219345 2.24141622 5.99390793 6.04540205 3.11546946 1.73907936
 3.02687597]","[1.48495197 0.25425792 4.94098282 2.8286376  0.18622637 3.30443287
 5.80711412]",['Have' 'a' 'carriage' 'sent' 'for' 'us' 'immediately']
37,"[5.44237995 6.79413366 2.87091015 2.13823128 4.11621809 0.51158738
 0.89315557]","[6.00219345 5.34632349 4.83470917 3.86434841 2.36809254 2.64280748
 3.12477756]","[-0.5598135   1.44781017 -1.96400881 -1.72611713  1.74812555 -2.1312201
 -2.23162198]","['He' 'probably' ""doesn't"" 'want' 'people' 'to' 'know']"
38,"[5.44237995 6.97038794 2.1860621  7.68421555 2.53189898 0.56128275
 1.48551512]","[6.00219345 5.34632349 4.04601479 8.04893684 2.6564815  2.41328478
 5.31266403]","[-0.5598135   1.62406445 -1.85995269 -0.3647213  -0.12458253 -1.85200202
 -3.82714891]",['He' 'put' 'the' 'fork' 'on' 'the' 'table']
39,"[8.61791706 3.41789627 4.25590944 4.98540211 1.93315363 1.81031907
 4.19525862]","[6.00219345 4.5638361  2.34549737 3.59988117 3.5348196  4.09479713
 5.14943743]","[-1.99975491 -1.14593983  1.91041207  1.38552094 -1.60166597 -2.28447819
 -0.95417881]","[""I'll"" 'give' 'him' 'more' 'than' 'a' 'slap']"
40,"[ 8.30758762 14.43556213  2.69701195  5.34078932  7.9613452   0.15923613
  5.58645391]","[6.00219345 6.29499292 3.24853349 5.26733017 2.5080018  1.10641599
 3.33350992]","[ 2.30539417  8.14056969 -0.55152154  0.07345915  5.45334339 -0.94717985
  2.25294399]",['Andrew' 'nodded' 'and' 'stood' 'against' 'the' 'counter']
41,"[ 8.9995203   0.19290295  3.2363081   7.90583467 10.06444263  2.05700231
  0.38974938]","[6.00219345 1.33054423 5.90254307 7.36523724 2.6946187  3.61186361
 2.62674809]","[ 2.99732685 -1.13764131 -2.66623497  0.54059744  7.36982393 -1.55486131
 -2.2369988 ]",['Looks' 'like' 'a' 'walk' 'did' 'the' 'trick']
42,"[ 8.25283527 11.22825623  6.21328688  3.71757984  0.60057265  5.00077534
  2.65591764]","[6.00219345 6.42141056 5.14367819 2.54455256 2.91176939 4.59594584
 2.74407363]","[ 2.25064182  4.80684566  1.06960869  1.17302728 -2.3111968   0.4048295
 -0.08815598]",['Sam' 'felt' 'proud' 'when' 'he' 'went' 'home']
43,"[8.14117908 7.55439949 3.1458416  1.41897142 7.8197031  0.6896553
 7.35010529]","[6.00219345 6.0484705  4.85065556 2.9373982  4.8320694  2.34220195
 1.49144959]","[ 2.13898563  1.50592899 -1.70481396 -1.51842678  2.98763371 -1.65254664
  5.85865593]",['Scott' 'got' 'up' 'and' 'washed' 'his' 'plate']
44,"[ 9.23476124 10.61715603  2.523386    4.45264053  3.38024378  0.22270954
  2.08923197]","[6.00219345 7.03510237 3.35866594 5.40139294 3.30063677 1.45062351
 5.59184217]","[ 3.23256779  3.58205366 -0.83527994 -0.9487524   0.07960701 -1.22791398
 -3.50261021]",['Simon' 'nodded' 'and' 'walked' 'into' 'the' 'room']
45,"[ 8.06195545 10.62026501  1.10920238  2.26990747  3.78542781  1.83856165
  1.58113182]","[6.00219345 6.69321632 2.93539286 2.63781118 4.56415987 3.28971863
 4.72622681]","[ 2.059762    3.92704868 -1.82619047 -0.36790371 -0.77873206 -1.45115697
 -3.14509487]",['Steve' 'sat' 'down' 'to' 'eat' 'his' 'lunch']
46,"[9.60590839e+00 1.16868744e+01 2.13453007e+00 6.55755377e+00
 4.39557731e-01 3.31487799e+00 1.15208991e-03]","[6.00219345 4.0959115  3.42037535 4.96143579 1.69714832 1.23685527
 0.01269084]","[ 3.60371494  7.59096289 -1.28584528  1.59611797 -1.25759053  2.07802272
 -0.01153875]",['Ted' 'smiled' 'and' 'bit' 'his' 'bottom' 'lip']
47,"[ 8.66200352 12.20686817  2.5945847   1.96133947  5.10139084  0.15492222
  0.02422041]","[6.00219345 7.01078558 3.12354732 2.80143642 5.04088879 0.94070971
 0.23880893]","[ 2.65981007  5.19608259 -0.52896261 -0.84009695  0.06050205 -0.78578746
 -0.21458852]",['Thomas' 'stepped' 'back' 'and' 'shook' 'his' 'head']
48,"[ 7.28745747 11.06573677  1.66751218  1.25298476  5.89694977  1.10507607
  8.17000103]","[6.00219345 6.3370657  3.65720654 2.8374033  4.99224854 2.35925841
 3.87960744]","[ 1.28526402  4.72867107 -1.98969436 -1.58441854  0.90470123 -1.25418234
  4.29039383]",['Tom' 'stood' 'up' 'and' 'wiped' 'his' 'jeans']
49,"[ 8.35741138 10.55958271  3.62879992  0.69780099  3.11437178  5.13109493
  8.56761646]","[6.00219345 5.64026833 4.2784071  2.21027517 5.62181997 5.6306181
 7.23025608]","[ 2.35521793  4.91931438 -0.64960718 -1.51247418 -2.5074482  -0.49952316
  1.33736038]",['Tony' 'stopped' 'off' 'at' 'his' 'first' 'delivery']
50,"[9.80655384 5.87023497 5.79790211 0.79880029 5.51567936 5.57448673
 3.93595672]","[6.00219345 3.32137465 4.5595727  3.56662679 5.76212978 5.29319906
 3.9850266 ]","[ 3.80436039  2.54886031  1.23832941 -2.76782656 -0.24645042  0.28128767
 -0.04906988]",['Normally' 'they' 'want' 'to' 'cut' 'things' 'up']
51,"[10.0841043   6.26603699  2.15199375  6.09453821  0.88936067  6.55275631
  5.74152756]","[6.00220966 8.10245419 6.40450382 7.39640903 1.48570466 6.44629765
 5.02581263]","[ 2.48281002 -1.8364172  -4.25251007 -1.30187082 -1.18775618  0.10645866
  0.71571493]","['Powerful' 'in' 'the' 'wrong' 'hands,' 'is' 'that']"
52,"[6.78605366 3.7652247  7.49104404 0.30096644 2.89992547 1.29210532
 2.21452951]","[6.00219345 5.32598639 5.47246933 2.0175972  5.25947857 3.38221025
 5.63907719]","[ 0.78386021 -1.56076169  2.01857471 -1.7166307  -2.3595531  -2.09010506
 -3.42454767]",['She' 'had' 'refused' 'to' 'leave' 'her' 'home']
53,"[ 6.78605366  8.49482346  2.96042609  7.94647598  2.91894817 10.32297516
  6.86298704]","[6.00219345 5.32598639 3.52142286 7.76667023 3.71781182 6.69984531
 3.71080518]","[ 0.78386021  3.16883707 -0.56099677  0.17980576 -0.79886365  3.62312984
  3.15218186]",['She' 'hid' 'the' 'boxes' 'and' 'matches' 'well']
54,"[ 2.12142658 13.19147491  5.24585867  6.45272875  7.92895126  5.38844824
  6.09414625]","[6.00219345 8.55646038 7.36056042 8.0189991  6.08212471 3.54256845
 2.68891287]","[-3.88076687  4.63501453 -2.11470175 -1.56627035  1.84682655  1.84587979
  3.40523338]",['The' 'bored' 'looking' 'soldier' 'continued' 'looking' 'bored']
55,"[2.12142658 8.63008499 7.12155342 2.82043576 7.1435585  1.56166542
 0.01050561]","[6.00219345 8.55646038 5.94641113 3.13725567 3.81036377 3.53205395
 0.11655417]","[-3.88076687  0.07362461  1.17514229 -0.31681991  3.33319473 -1.97038853
 -0.10604856]",['The' 'dead' 'must' 'not' 'kill' 'the' 'living']
56,"[2.12142658 9.67341232 4.25477982 7.41702461 5.67101812 0.45080066
 6.37360096]","[6.00219345 8.55646038 6.30266666 4.44756556 3.46410561 2.39412451
 6.39024162]","[-3.88076687  1.11695194 -2.04788685  2.96945906  2.20691252 -1.94332385
 -0.01664066]",['The' 'prison' 'guard' 'walked' 'along' 'the' 'row']
57,"[ 2.12142658 10.18802643  2.78327775  8.3966856  10.53036046  6.70678902
  5.15633965]","[6.00219345 8.55646038 5.92208672 6.08786583 6.47104692 5.96632147
 3.63227892]","[-3.88076687  1.63156605 -3.13880897  2.30881977  1.03438616  0.74046755
  1.52406073]","['The' 'van' 'is' 'your' 'lead,' 'follow' 'that']"
58,"[7.66082668 4.91940212 5.2427063  2.27463508 2.04304433 0.13461451
 0.03521825]","[6.00219345 5.96096563 5.63728094 3.64434457 3.09914541 1.02262807
 0.27830189]","[-1.17105389 -1.04156351 -0.39457464 -1.36970949 -1.05610108 -0.88801354
 -0.24308364]","[""You're"" 'getting' 'up' 'early' 'in' 'the' 'morning']"
59,"[ 5.22783756  8.44583797  5.3285985   3.00103259  4.14160919  2.01468086
  1.50643122 11.42956924]","[6.00219345 6.39390278 2.98626781 5.4497838  6.22153282 2.91573858
 2.46052742 3.71348333]","[-0.77435589  2.0519352   2.34233069 -2.44875121 -2.07992363 -0.90105772
 -0.9540962   7.71608591]",['After' 'lunch' 'he' 'was' 'told' 'he' 'had' 'visitors']
60,"[ 9.41752338 11.2156601   5.08471823 10.63888359  4.86005116  2.93533397
  0.33302224  0.01863098]","[6.00219345 2.57766581 3.38007236 4.23032475 6.28610134 4.79021168
 2.45895243 0.13515508]","[ 3.41532993  8.63799477  1.70464587  6.40855885 -1.42605019 -1.85487771
 -2.12593031 -0.1165241 ]",['Albert' 'spoke' 'before' 'Barbara' 'had' 'a' 'chance' 'to']
61,"[8.81531239 7.53832245 3.74503684 4.82292271 4.87422323 5.08584213
 0.81293356 6.04921913]","[6.00219345 4.9234724  4.90936756 6.79409409 1.65600491 5.6700201
 3.71747875 7.43212795]","[ 2.81311893  2.61485004 -1.16433072 -1.97117138  3.21821833 -0.58417797
 -2.90454531 -1.38290882]",['Come' 'within' 'the' 'walls' 'to' 'escape' 'the' 'enemy']
62,"[ 6.97012806  3.23344493 10.22069836  2.08090782  4.07568216  2.1367116
  7.07877779  7.32951069]","[6.00219345 4.57514095 1.27959633 3.47190619 3.04633904 3.6015439
 5.9138341  8.09448814]","[ 0.96793461 -1.34169602  8.94110203 -1.39099836  1.02934313 -1.46483231
  1.1649437  -0.76497746]",['Follow' 'me' 'closely' 'and' 'watch' 'for' 'their' 'leader']
63,"[5.44237995 6.14568853 3.66547728 9.06188583 3.42004442 2.73673511
 0.13853383 3.43668175]","[6.00219345 5.34632349 4.45277405 5.64751959 5.31286621 4.50774097
 0.70951343 3.57582331]","[-0.5598135   0.79936504 -0.78729677  3.41436625 -1.89282179 -1.77100587
 -0.5709796  -0.13914156]",['He' 'called' 'out' 'but' 'she' 'did' 'not' 'move']
64,"[5.44237995 6.45221853 1.80278039 2.33871031 3.03227806 1.08970773
 4.30199051 4.05979776]","[6.00219345 5.34632349 3.6611557  3.09635592 5.68695068 4.33191681
 4.9995079  3.25158834]","[-0.5598135   1.10589504 -1.85837531 -0.75764561 -2.65467262 -3.24220896
 -0.6975174   0.80820942]",['He' 'sat' 'down' 'and' 'began' 'to' 'eat' 'breakfast']
65,"[ 5.44237995  9.25720024  1.10441196  9.05711365  4.1311245   0.99576509
  1.10552883 10.55039883]","[6.00219345 5.34632349 5.17638588 7.34534883 4.36791325 2.96665454
 4.11891747 6.49363041]","[-0.5598135   3.91087675 -4.0719738   1.71176481 -0.23678875 -1.97088945
 -3.01338863  4.05676842]",['He' 'slammed' 'the' 'knife' 'down' 'on' 'the' 'lamb']
66,"[ 5.44237995 11.33175468  2.81367302  0.43656316  6.71849203  3.72668695
  2.66317725  0.82032543]","[6.00219345 5.34632349 3.94569802 2.45790672 6.36638069 3.01230192
 3.25182557 3.58729672]","[-0.5598135   5.98543119 -1.132025   -2.02134347  0.35211134  0.71438503
 -0.58864832 -2.76697135]",['He' 'staggered' 'into' 'the' 'chair' 'at' 'his' 'desk']
67,"[ 4.00243855  5.28205109  0.67911804 10.23694801  2.18041778  7.0981679
  6.45177603  8.79472351]","[6.00219345 4.93950462 3.26334167 4.41290188 4.80004835 8.27669907
 3.54316473 6.16143847]","[-1.99975491  0.34254646 -2.58422375  5.82404613 -2.61963058 -1.17853117
  2.9086113   2.63328505]",['I' 'do' 'not' 'spare' 'the' 'birds' 'a' 'killing']
68,"[ 4.00246048  3.6831634   5.49258852 11.04417562 11.74344826  1.42773151
  4.702384    2.60266566]","[6.00220966 4.9394846  4.40128994 7.69467974 7.06660461 3.8661797
 5.33798027 3.98062801]","[-1.99974918 -1.25632119  1.09129858 -2.21029472  4.67684364 -2.43844819
 -0.63559628 -1.37796235]","['I' 'think' 'our' ""friend's"" 'demands' 'are' 'well' 'justified']"
69,"[6.77199268 2.65713167 6.45486021 4.17783403 6.042593   2.77874494
 2.26953363 0.85351515]","[6.00219345 1.89978385 4.5452404  4.26402855 7.93336439 6.23421812
 3.11868644 2.89315867]","[ 0.76979923  0.75734782  1.90961981 -0.08619452 -1.89077139 -3.45547318
 -0.8491528  -2.03964353]",['Let' 'us' 'leave' 'these' 'poor' 'people' 'in' 'peace']
70,"[10.77874041 13.6392746   1.22031593  1.32851481  1.8570931   3.96532059
  1.2039144   3.30380869]","[6.00220966 6.56554985 3.02544165 5.66433716 2.9218173  5.40808964
 2.68725801 3.45876408]","[ 3.9302702   7.07372475 -1.80512571 -4.33582211 -1.06472421 -1.44276905
 -1.4833436  -0.15495539]",['Walter' 'closed' 'the' 'door' 'and' 'took' 'a' 'breath']
71,"[ 9.1118784  11.58702469  1.44373095  2.37173176  8.73407745  2.27313542
  1.08583069  4.16786337]","[6.00219345 6.76079416 3.34561682 2.90784669 5.43801022 2.68666983
 2.29516602 5.95078278]","[ 3.10968494  4.82623053 -1.90188587 -0.53611493  3.29606724 -0.4135344
 -1.20933533 -1.78291941]",['William' 'sat' 'down' 'and' 'tucked' 'into' 'his' 'breakfast']
72,"[11.09165454 10.3645916   6.107162    0.70782518  1.24310565  4.11164856
  6.41158342  0.51607347]","[6.00220966 2.70889378 3.96232677 3.5994792  5.97967148 3.1712904
 4.73136377 1.62929213]","[ 3.76707745  7.65569782  2.14483523 -2.89165401 -4.73656559  0.94035816
  1.68021965 -1.11321867]",['Alec' 'stood' 'against' 'the' 'wall' 'to' 'steady' 'himself']
73,"[12.19938099  4.08041191  3.58645129  7.21086884  6.05582619  5.97066689
  2.12095904  5.0268321 ]","[6.00220966 4.74210548 4.84477234 5.12401247 3.79354477 2.76985836
 4.87452173 7.54720497]","[ 0.02492046 -0.66169357 -1.25832105  2.08685637  2.26228142  3.20080853
 -2.75356269 -2.52037287]",['No-one' 'else' 'had' 'dared' 'step' 'within' 'the' 'ring']
74,"[ 8.96947193  0.72880632  1.19964814  6.97866821  8.82284737 10.69868851
  2.04682398  1.58844948]","[6.00219345 2.58646727 2.52701402 7.86288071 1.41609144 5.47624445
 3.89224005 4.82686377]","[ 2.96727848 -1.85766101 -1.32736588 -0.88421249  7.40675592  5.22244406
 -1.84541607 -3.23841429]",['None' 'of' 'the' 'city' 'people' 'dress' 'like' 'that']
75,"[ 6.78605366  6.91568375  1.83678758 11.72928905  3.13269091  2.57368827
  2.26753497  0.57032543]","[6.00219345 5.32598639 4.52557373 8.00360107 5.57973528 4.25627613
 2.62431717 2.20743775]","[ 0.78386021  1.58969736 -2.68878603  3.72568798 -2.44704437 -1.68258786
 -0.3567822  -1.63711238]",['She' 'saw' 'the' 'throwing' 'knife' 'in' 'his' 'hand']
76,"[6.78607941 2.4650383  7.46488857 3.92553878 1.33578086 5.40593243
 9.15506935 5.31688929]","[6.00220966 5.32598066 6.30320168 3.72799301 3.89701557 6.59481192
 5.77720833 4.68150425]","[ 0.78386974 -2.86094236  1.1616869   0.19754577 -2.56123471 -2.42488813
  3.37786102  0.63538504]","['She' 'was' 'smiling' 'in' 'the' 'dark,' 'teeth' 'flashing']"
77,"[10.86187458  3.95681906  9.11545944 15.84865379  3.23918009  1.73644531
  4.4108367   1.33757162]","[6.00219345 3.4387846  4.83444548 3.58539081 4.54158926 3.63735819
 5.78520823 1.48616886]","[ 4.85968113  0.51803446  4.28101397 12.26326275 -1.30240917 -1.90091288
 -1.37437153 -0.14859724]",['Shut' 'your' 'smart' 'foul' 'mouth' 'and' 'sit' 'down']
78,"[8.76749516 1.63074899 2.56395984 7.06202698 0.86939162 2.07168365
 2.45796585 7.53637123]","[6.00219345 3.62072897 3.07723331 3.33856845 3.2638092  3.45876455
 5.39731789 8.21953297]","[ 2.7653017  -1.98997998 -0.51327348  3.72345853 -2.39441752 -1.38708091
 -2.93935204 -0.68316174]",['Tell' 'me' 'what' 'really' 'happened' 'to' 'the' 'truck']
79,"[2.12142658 8.93509293 2.39275789 2.08225894 2.32205653 9.3135252
 4.19833088 1.58938444]","[6.00219345 8.55646038 4.1406064  4.61123228 3.66107059 5.92198658
 6.99996614 2.48972487]","[-3.88076687  0.37863255 -1.74784851 -2.52897334 -1.33901405  3.39153862
 -2.80163527 -0.90034044]",['The' 'door' 'was' 'opened' 'and' 'Alexander' 'walked' 'out']
80,"[ 4.93592548  3.17156744 13.54758835  4.58050156  1.24792051  3.6756072
  1.11497021  5.0117979 ]","[6.00219345 2.11906624 5.61757421 4.85249281 2.69780254 6.47268152
 2.71098924 4.06897068]","[-1.06626797  1.0525012   7.93001413 -0.27199125 -1.44988203 -2.79707432
 -1.59601903  0.94282722]",['There' 'were' 'choked' 'screams' 'and' 'shouts' 'of' 'dismay']
81,"[4.93592548 4.37529898 0.24082217 9.32038784 5.91535664 5.34610939
 9.78835678 0.97967827]","[6.00219345 2.11906624 1.28336847 4.36550903 3.82760048 5.94638824
 3.66697502 3.6936295 ]","[-1.06626797  2.25623274 -1.04254627  4.95487881  2.08775616 -0.60027885
  6.12138176 -2.71395111]",['There' 'will' 'be' 'men' 'to' 'kill' 'either' 'way']
82,"[6.16351795 2.7423985  7.38297844 7.07977772 3.19463444 8.02125072
 0.81153595 3.59603786]","[6.00219345 4.82971716 7.03836441 6.37419939 4.25674248 3.24069786
 2.92650723 7.16852188]","[ 0.1613245  -2.08731866  0.34461403  0.70557833 -1.06210804  4.78055286
 -2.11497116 -3.57248402]",['They' 'were' 'definitely' 'holding' 'hands' 'underneath' 'the' 'table']
