id,surprisal,entropy,deviation,tokens
21,[8.3031714  8.05077362 2.08835006 6.77522945 7.71826077 0.94172555],[7.01057673 5.87522364 4.32538319 5.02833652 3.81541777 3.00302911],[-1.06147242  2.17554998 -2.23703313  1.74689293  3.902843   -2.06130362],"[""He's"" 'broken' 'his' 'wrists' 'very' 'badly']"
22,[ 3.9997139   3.0501368  10.04833412  8.96344757  5.92084599  7.81860495],[7.01057768 4.81620884 5.34599495 1.96493149 0.99778008 4.13439274],[-3.01086378 -1.76607203  4.70233917  6.99851608  4.92306614  3.68421221],['I' 'am' 'touched' 'deeply' 'in' 'places']
23,[3.99971032 3.54899034 2.68899965 0.23806426 4.43715572 2.9919157 ],[7.01057673 4.81620502 3.03747416 1.53216887 5.20244265 3.88878059],[-3.0108664  -1.26809263 -0.3484745  -1.29410458 -0.76528692 -0.89686489],"['I' ""don't"" 'want' 'to' 'hear' 'it']"
24,[3.9997139  5.5520668  2.05599928 7.38204145 4.77194595 2.37962508],[7.01057768 4.81620884 4.36291122 2.64841866 4.38018799 5.98569918],[-3.01086378  0.73585796 -2.30691195  4.73362255  0.39175797 -3.60607409],['I' 'knew' 'I' 'heard' 'your' 'voice']
25,[3.99971032 6.67240687 2.95701814 0.36199278 4.64866781 1.41178179],[7.01057673 4.81620502 4.18024302 1.99659646 5.30986309 3.24546003],[-3.0108664   1.85545778 -1.22322488 -1.63460374 -0.66119528 -1.83367825],"['I' ""wouldn't"" 'want' 'to' 'miss' 'this']"
26,[ 8.88534927 10.5863924   2.52013278  0.31221515  1.61633539  2.75273633],[7.01057768 6.52555752 3.6756556  1.40770006 4.31197453 6.96242952],[ 1.8747716   4.06083488 -1.15552282 -1.09548497 -2.69563913 -4.20969296],['Jack' 'walked' 'up' 'to' 'the' 'door']
27,[10.48036194 10.29586601  4.2503643   1.80945039  1.50488567  8.07640743],[7.01057673 6.52863407 2.72174168 2.29776335 2.65314746 5.56105518],[ 3.46978521  3.76723194  1.52862263 -0.48831296 -1.14826179  1.32771492],['Ross' 'sat' 'back' 'down' 'and' 'shivered']
28,[6.64615631 6.11992405 2.48615289 8.04797649 5.18329144 7.27326536],[7.01057673 5.3735857  4.71657658 2.17246485 5.09480286 5.10115433],[-0.36442041  0.74547195 -2.23042369  5.87551165  0.08848858  2.17211103],"['She' ""couldn't"" 'help' 'feel' 'for' 'Alex']"
29,[ 3.27810287 13.32112885  5.5266118   6.22349167  5.89282799  7.88831329],[7.01057768 8.55312157 7.22687197 7.14234161 5.97547293 6.03195095],[-3.7324748   4.76800728 -1.70026016 -0.91884995 -0.08264494  1.85636234],['The' 'bored' 'looking' 'soldier' 'just' 'pointed']
30,[3.27810287 7.81527758 3.36940122 6.17067671 1.2847327  2.00277972],[7.01057768 8.55312157 4.86090803 4.80983925 3.8985033  4.84620667],[-3.7324748  -0.73784399 -1.49150681  1.36083746 -2.61377048 -2.84342694],['The' 'campaign' 'will' 'pay' 'for' 'itself']
31,[8.70146632 8.18288994 3.59874654 4.55951405 5.00433159 5.31342793],[7.01057673 6.55717373 4.28256702 3.7179594  6.15690231 5.28651524],[-0.49710321  1.62571621 -0.68382049  0.84155464 -1.15257072  0.02691269],"[""They're"" 'riding' 'out' 'to' 'meet' 'them']"
32,[4.96000671 9.78172207 6.08838511 3.66885805 1.74099839 0.17551078],[7.01057768 4.74876881 4.59154415 4.19062662 4.49435186 1.52851892],[-2.05057096  5.03295326  1.49684095 -0.52176857 -2.7533536  -1.35300815],['We' 'barely' 'escaped' 'with' 'our' 'lives']
33,[7.31644273 2.17859578 8.94882011 7.18005371 3.73298645 3.68139076],[7.01057673 4.30165148 5.57096004 3.75118542 4.40705872 2.39426684],[-2.05057383 -2.1230557   3.37786007  3.42886829 -0.67407227  1.28712392],"[""We've"" 'been' 'travelling' 'almost' 'three' 'days']"
34,"[10.47953033  3.80869412  5.14452553  0.58954942  6.67608595  0.81304187
  1.27263474]","[7.01057673 6.81822586 5.79469967 1.97229457 4.28453159 3.3401289
 3.71444988]","[ 3.46895361 -3.00953174 -0.65017414 -1.38274515  2.39155436 -2.52708697
 -2.44181514]",['Alice' 'is' 'looking' 'for' 'somewhere' 'to' 'live']
35,"[ 9.90427017 15.55891514  0.91477734  7.24335241  6.83756685  3.94795871
  0.72925603]","[7.01057673 6.97766924 3.18277121 5.01347494 3.54795074 3.5379858
 1.98502588]","[ 2.89369345  8.58124542 -2.26799393  2.22987747  3.28961611  0.40997291
 -1.25576985]",['Alan' 'forgot' 'to' 'shave' 'again' 'this' 'morning']
36,"[ 7.79406738  2.70002151 15.01554012  8.5261879   4.00562906  4.44955301
  8.35382843]","[7.01057673 2.00287437 5.05902672 5.39860678 3.181638   4.40424776
 2.84476566]","[0.78349066 0.69714713 9.9565134  3.12758112 0.82399106 0.04530525
 5.50906277]",['Have' 'a' 'carriage' 'sent' 'for' 'us' 'immediately']
37,"[5.94910431 7.36737251 3.17823729 2.26710749 5.06153011 0.28473681
 1.39974213]","[7.01057673 5.27909088 4.90476847 3.93850136 1.97104859 1.86695123
 3.90044832]","[-1.06147242  2.08828163 -1.72678709 -1.67139387  3.09048152 -1.58221436
 -2.5007062 ]","['He' 'probably' ""doesn't"" 'want' 'people' 'to' 'know']"
38,"[5.94910431 6.74865913 2.23419333 8.39231205 2.00183487 0.67452109
 2.28036022]","[7.01057673 5.27909088 4.26963472 8.02910614 3.14215851 2.60895324
 6.18662548]","[-1.06147242  1.46956825 -2.0354414   0.36320591 -1.14032364 -1.93443215
 -3.90626526]",['He' 'put' 'the' 'fork' 'on' 'the' 'table']
39,"[8.39229751 3.46081924 4.82425928 5.18343925 2.47920346 1.74240518
 4.74564171]","[7.01057673 4.43303299 2.02697086 3.39166355 3.23686695 3.98788214
 5.73780584]","[-3.0108664  -0.97221375  2.79728842  1.7917757  -0.75766349 -2.24547696
 -0.99216413]","[""I'll"" 'give' 'him' 'more' 'than' 'a' 'slap']"
40,"[ 9.22177887 13.59138203  2.25653172  5.05673695  7.32501459  0.23649755
  5.0009861 ]","[7.01057673 6.95760441 3.23740149 5.65049934 2.57800961 1.44400668
 3.80087328]","[ 2.21120214  6.63377762 -0.98086977 -0.5937624   4.74700499 -1.20750916
  1.20011282]",['Andrew' 'nodded' 'and' 'stood' 'against' 'the' 'counter']
41,"[9.87018585 0.169589   3.12648988 8.61690044 8.77109337 3.70679617
 1.10486972]","[7.01057673 1.19891632 5.7607131  7.04352093 3.5887897  4.58131504
 5.25404072]","[ 2.85960913 -1.02932727 -2.63422322  1.57337952  5.18230343 -0.87451887
 -4.14917088]",['Looks' 'like' 'a' 'walk' 'did' 'the' 'trick']
42,"[ 8.61407089 10.44194221  6.5203743   3.72251463  0.52042854  4.89374065
  3.38832474]","[7.01057673 5.93900251 5.04727364 2.05102205 2.71674633 5.02271414
 2.86394286]","[ 1.60349417  4.5029397   1.47310066  1.67149258 -2.19631767 -0.12897348
  0.52438188]",['Sam' 'felt' 'proud' 'when' 'he' 'went' 'home']
43,"[9.13344955 9.28030777 3.25321293 1.47854888 8.02815437 0.37484887
 7.47509193]","[7.01057673 6.80809307 4.90851402 3.36103225 4.40953159 1.75791347
 2.80547976]","[ 2.12287283  2.4722147  -1.65530109 -1.88248336  3.61862278 -1.38306463
  4.66961193]",['Scott' 'got' 'up' 'and' 'washed' 'his' 'plate']
44,"[10.15542221 11.1899929   2.07306838  4.14499283  3.38843536  0.26374966
  2.48315239]","[7.01057673 7.03984737 3.27743196 5.82141972 2.83851099 1.64938009
 6.01513386]","[ 3.14484549  4.15014553 -1.20436358 -1.67642689  0.54992437 -1.38563037
 -3.53198147]",['Simon' 'nodded' 'and' 'walked' 'into' 'the' 'room']
45,"[ 8.78353119 10.07981682  0.4597466   2.33750558  5.81011677  2.44277954
  1.83653879]","[7.01057673 6.95094919 1.95510745 1.74697459 3.53820944 3.58848619
 5.0853467 ]","[ 1.77295446  3.12886763 -1.49536085  0.59053099  2.27190733 -1.14570665
 -3.24880791]",['Steve' 'sat' 'down' 'to' 'eat' 'his' 'lunch']
46,"[1.01970901e+01 1.09203644e+01 1.74737239e+00 7.07883310e+00
 7.87284970e-01 4.86970711e+00 4.83996747e-03]","[7.01057673 4.41085529 3.45738864 4.86360359 2.66693449 2.28703594
 0.04931081]","[ 3.18651342  6.50950909 -1.71001625  2.21522951 -1.87964952  2.58267117
 -0.04447084]",['Ted' 'smiled' 'and' 'bit' 'his' 'bottom' 'lip']
47,"[ 9.15894318 10.63098621  2.73837423  2.34508991  4.44395161  0.30015185
  0.01960285]","[7.01057673 6.74986362 3.0996623  3.04027081 5.09601879 1.54860008
 0.18751612]","[ 2.14836645  3.88112259 -0.36128807 -0.69518089 -0.65206718 -1.24844825
 -0.16791327]",['Thomas' 'stepped' 'back' 'and' 'shook' 'his' 'head']
48,"[ 8.37522125 11.62810135  2.11293435  1.02959943  5.7049408   1.03702688
  8.92168427]","[7.01057673 6.57855129 4.07012272 2.78647256 5.25779343 2.54960251
 3.57515454]","[ 1.36464453  5.04955006 -1.95718837 -1.75687313  0.44714737 -1.51257563
  5.34652996]",['Tom' 'stood' 'up' 'and' 'wiped' 'his' 'jeans']
49,"[ 9.71046448 12.11820126  4.63723898  0.97527242  3.19130516  5.16944218
  8.6258831 ]","[7.01057673 6.54648399 4.20585108 2.98315644 5.28462934 5.77549887
 7.23515129]","[ 2.69988775  5.57171726  0.4313879  -2.00788403 -2.09332418 -0.60605669
  1.39073181]",['Tony' 'stopped' 'off' 'at' 'his' 'first' 'delivery']
50,"[10.14271545  5.83703613  5.45883656  0.60037309  5.53565693  4.95957613
  3.92769074]","[7.01057673 3.58556223 4.42607975 2.87605906 5.69293499 4.81024599
 3.58587217]","[ 3.13213873  2.2514739   1.03275681 -2.27568603 -0.15727806  0.14933014
  0.34181857]",['Normally' 'they' 'want' 'to' 'cut' 'things' 'up']
51,"[10.72642756  5.13960266  2.35438895  6.75605297  2.02219594  6.7227211
  4.2754364 ]","[7.0105648  8.25585175 6.31763411 7.65950298 2.15148973 6.8342042
 5.90424156]","[ 1.56488609 -3.11624908 -3.96324515 -0.90345001 -1.56876791 -0.1114831
 -1.62880516]","['Powerful' 'in' 'the' 'wrong' 'hands,' 'is' 'that']"
52,"[6.64615631 3.41487241 7.0316143  0.37092122 3.24519372 1.80491674
 1.89776921]","[7.01057673 5.3735857  5.62071705 2.31563997 5.36555767 3.95611763
 5.54467726]","[-0.36442041 -1.95871329  1.41089725 -1.94471872 -2.12036395 -2.15120077
 -3.64690804]",['She' 'had' 'refused' 'to' 'leave' 'her' 'home']
53,"[ 6.64615631  8.99751377  2.16787386  8.67742157  3.05832148 10.0754261
  7.38188124]","[7.01057673 5.3735857  3.63028097 7.7057209  3.69805145 6.86661005
 3.65138626]","[-0.36442041  3.62392807 -1.46240711  0.97170067 -0.63972998  3.20881605
  3.73049498]",['She' 'hid' 'the' 'boxes' 'and' 'matches' 'well']
54,"[ 3.27810311 13.32113075  5.52662086  6.22349453  6.30763531  5.2521615
  6.97379923]","[7.01057673 8.55311584 7.22687387 7.14234543 5.9754715  3.51982498
 3.080585  ]","[-3.73247361  4.76801491 -1.70025301 -0.9188509   0.33216381  1.73233652
  3.89321423]",['The' 'bored' 'looking' 'soldier' 'continued' 'looking' 'bored']
55,"[3.27810311 8.70239449 6.12058544 3.0163579  6.25604153 2.47059774
 0.36851615]","[7.01057673 8.55311584 6.3866024  3.64670968 3.92798615 4.20002079
 1.96404552]","[-3.73247361  0.14927864 -0.26601696 -0.63035178  2.32805538 -1.72942305
 -1.59552932]",['The' 'dead' 'must' 'not' 'kill' 'the' 'living']
56,"[3.27810311 9.68729591 5.54632711 6.55303049 5.54444313 0.82430696
 6.89763308]","[7.01057673 8.55311584 6.05118752 4.9665966  3.47372818 3.22649264
 6.07952213]","[-3.73247361  1.13418007 -0.5048604   1.58643389  2.07071495 -2.40218568
  0.81811094]",['The' 'prison' 'guard' 'walked' 'along' 'the' 'row']
57,"[ 3.27810311 10.2030201   2.53625894  7.40513897 12.95322609  6.66878891
  5.5662241 ]","[7.01057673 8.55311584 5.59640884 6.01593685 6.22809029 6.00898647
 3.72857332]","[-3.73247361  1.64990425 -3.06014991  1.38920212  2.03886318  0.65980244
  1.83765078]","['The' 'van' 'is' 'your' 'lead,' 'follow' 'that']"
58,"[8.24077773 4.77840471 5.3942318  2.30618668 2.92720199 0.21441175
 0.13302051]","[7.01057673 5.52100992 5.39289188 3.70824862 3.43941355 1.5302254
 0.63299364]","[-1.68568659e+00 -7.42605209e-01  1.33991241e-03 -1.40206194e+00
 -5.12211561e-01 -1.31581366e+00 -4.99973118e-01]","[""You're"" 'getting' 'up' 'early' 'in' 'the' 'morning']"
59,"[ 6.44495392  8.44374275  4.25023556  3.04676008  3.7497611   2.06273031
  1.72623253 11.95255661]","[7.01057673 6.32196331 3.01158905 5.61670542 6.1420126  2.87161446
 2.62174082 4.07091427]","[-0.56562281  2.12177944  1.23864651 -2.56994534 -2.39225149 -0.80888414
 -0.89550829  7.88164234]",['After' 'lunch' 'he' 'was' 'told' 'he' 'had' 'visitors']
60,"[1.03922272e+01 1.08016977e+01 5.14208412e+00 1.13003588e+01
 5.00297451e+00 2.68954301e+00 1.53666770e+00 7.33634271e-03]","[7.01057673 3.05247545 3.03337526 4.45638943 6.72445869 5.11339855
 5.6260972  0.07173742]","[ 3.38165045  7.74922228  2.10870886  6.84396935 -1.72148418 -2.42385554
 -4.08942938 -0.06440108]",['Albert' 'spoke' 'before' 'Barbara' 'had' 'a' 'chance' 'to']
61,"[8.84693146 8.31617355 2.86702538 6.56883144 2.82053471 6.21478653
 1.264099   7.12201977]","[7.01057673 5.2706728  4.27479506 6.52890968 2.16159344 5.2576766
 4.22134256 7.77997303]","[ 1.83635473  3.04550076 -1.40776968  0.03992176  0.65894127  0.95710993
 -2.95724344 -0.65795326]",['Come' 'within' 'the' 'walls' 'to' 'escape' 'the' 'enemy']
62,"[7.68035889 3.63052058 9.76417923 2.84828186 4.53808784 3.69151402
 8.27945423 8.04895401]","[7.01057673 4.97657204 1.51981926 3.05868125 4.86788845 3.47773242
 4.70343781 6.89178944]","[ 0.66978216 -1.34605145  8.24435997 -0.21039939 -0.32980061  0.2137816
  3.57601643  1.15716457]",['Follow' 'me' 'closely' 'and' 'watch' 'for' 'their' 'leader']
63,"[5.94910431 5.62654305 4.13911819 8.72525787 4.74128962 2.99890113
 0.0780002  5.00405216]","[7.01057673 5.27909088 3.932652   5.94091511 5.35611534 4.46024132
 0.57797527 4.02808475]","[-1.06147242  0.34745216  0.2064662   2.78434277 -0.61482573 -1.46134019
 -0.49997509  0.97596741]",['He' 'called' 'out' 'but' 'she' 'did' 'not' 'move']
64,"[5.94910431 7.18323708 1.71252322 1.97778535 3.49504495 0.9322449
 4.75095224 4.45085812]","[7.01057673 5.27909088 3.76230979 2.87726855 5.54012585 3.94948173
 5.56366301 3.32162428]","[-1.06147242  1.90414619 -2.04978657 -0.8994832  -2.0450809  -3.01723671
 -0.81271076  1.12923384]",['He' 'sat' 'down' 'and' 'began' 'to' 'eat' 'breakfast']
65,"[ 5.94910431  8.91729164  0.97361994 10.35169697  7.69005489  0.75396878
  1.11002743  9.90345192]","[7.01057673 5.27909088 4.90845108 7.1865778  4.40217113 2.72559738
 4.00950956 6.30929279]","[-1.06147242  3.63820076 -3.93483114  3.16511917  3.28788376 -1.97162867
 -2.89948225  3.59415913]",['He' 'slammed' 'the' 'knife' 'down' 'on' 'the' 'lamb']
66,"[ 5.94910431 11.73043251  2.91815233  0.72345692  5.96435928  4.20035315
  2.47865129  1.28383327]","[7.01057673 5.27909088 4.07990885 2.87117648 6.62914085 3.30140734
 3.55780935 2.94308424]","[-1.06147242  6.45134163 -1.16175652 -2.14771962 -0.66478157  0.89894581
 -1.07915807 -1.65925097]",['He' 'staggered' 'into' 'the' 'chair' 'at' 'his' 'desk']
67,"[ 3.99971032  5.08778524  0.71018815 10.59831333  2.21855664  7.65782261
  5.96943426  9.37992859]","[7.01057673 4.81620502 3.12331724 4.08475971 4.28352737 8.12053108
 3.64404035 5.21108437]","[-3.0108664   0.27158022 -2.41312909  6.51355362 -2.06497073 -0.46270847
  2.32539392  4.16884422]",['I' 'do' 'not' 'spare' 'the' 'birds' 'a' 'killing']
68,"[ 3.99970675  3.64414692  5.4481144  11.1356082  11.04829216  1.1465596
  5.29621696  3.16622615]","[7.0105648  4.81620026 4.12138033 7.48572683 7.48989582 3.56311131
 5.70593262 3.97132683]","[-3.01085806 -1.17205334  1.32673407 -0.80652571  3.55839634 -2.41655159
 -0.40971565 -0.80510068]","['I' 'think' 'our' ""friend's"" 'demands' 'are' 'well' 'justified']"
69,"[7.42842102 2.38845944 6.53899384 4.73320484 5.24844599 1.96654809
 2.73031807 2.85039616]","[7.01057673 1.95914674 4.79803896 3.56984997 7.36448526 5.40075684
 2.65293026 4.23327065]","[ 0.4178443   0.42931271  1.74095488  1.16335487 -2.11603928 -3.43420887
  0.07738781 -1.38287449]",['Let' 'us' 'leave' 'these' 'poor' 'people' 'in' 'peace']
70,"[10.496759   10.32553196  1.40834522  1.59529436  2.5799737   3.87167716
  0.81996679  3.37488365]","[7.0105648  6.91521311 3.25026512 5.95672989 3.28283167 5.70386791
 2.73515058 3.9470973 ]","[ 2.52165413  3.41031885 -1.8419199  -4.36143541 -0.70285797 -1.83219075
 -1.91518378 -0.57221365]",['Walter' 'closed' 'the' 'door' 'and' 'took' 'a' 'breath']
71,"[ 9.50907898 12.05001545  1.05990362  2.56162262  9.02045059  2.4661274
  0.57034588  7.30680799]","[7.01057673 6.92330742 2.96277237 1.89034009 5.15510654 2.97881103
 1.85342216 6.06322432]","[ 2.49850225  5.12670803 -1.90286875  0.67128253  3.86534405 -0.51268363
 -1.28307629  1.24358368]",['William' 'sat' 'down' 'and' 'tucked' 'into' 'his' 'breakfast']
72,"[12.07643783  8.76133347  5.06573105  0.82578379  0.94276732  4.22430897
  7.20711517  0.41240731]","[7.0105648  6.60631275 4.1612277  3.5874033  5.00666237 3.10573554
 5.66936493 1.50919604]","[ 3.37235069  2.15502071  0.90450335 -2.76161957 -4.06389523  1.11857343
  1.53775024 -1.09678876]",['Alec' 'stood' 'against' 'the' 'wall' 'to' 'steady' 'himself']
73,"[13.24105787  3.93488216  3.72606468  6.96008348  6.84155655  6.46700811
  1.61329126  5.40752125]","[7.0105648  4.49901581 4.31654739 5.04712772 3.6854248  2.77184916
 4.15669203 7.69221163]","[-0.55061102 -0.56413364 -0.59048271  1.91295576  3.15613174  3.69515896
 -2.54340076 -2.28469038]",['No-one' 'else' 'had' 'dared' 'step' 'within' 'the' 'ring']
74,"[ 8.89657593  0.97128344  1.10074258  7.67794371  8.52577591 10.26501083
  1.51221156  2.52788758]","[7.01057673 3.87304235 2.33805966 7.45518875 1.39891458 5.16140747
 3.36719513 6.16922283]","[ 1.8859992  -2.90175891 -1.23731709  0.22275496  7.12686157  5.10360336
 -1.85498357 -3.64133525]",['None' 'of' 'the' 'city' 'people' 'dress' 'like' 'that']
75,"[ 6.64615631  6.24932957  1.89460099 11.51087761  3.92788458  2.40981507
  2.00684905  0.73308319]","[7.01057673 5.3735857  4.73224354 7.98866272 5.34323883 4.39845467
 2.56099176 2.7908988 ]","[-0.36442041  0.87574387 -2.83764267  3.52221489 -1.41535425 -1.98863959
 -0.55414271 -2.05781555]",['She' 'saw' 'the' 'throwing' 'knife' 'in' 'his' 'hand']
76,"[6.64615679 2.28416443 7.68507147 3.96009302 1.11186719 4.56837571
 9.77461147 6.04107094]","[7.0105648  5.37358761 6.55140495 3.48668909 3.52610278 6.04059124
 5.56405735 6.20311594]","[-0.36440802 -3.08942318  1.13366652  0.47340393 -2.41423559 -2.86794186
  4.21055412 -0.162045  ]","['She' 'was' 'smiling' 'in' 'the' 'dark,' 'teeth' 'flashing']"
77,"[10.73698044  4.34307289  8.19547462 12.07914925  6.41990328  1.69853985
  5.50158691  1.35355139]","[7.01057673 3.43429971 6.47914314 2.09671593 5.84490204 3.97497225
 6.28619051 2.45600104]","[ 3.72640371  0.90877318  1.71633148  9.98243332  0.57500124 -2.27643251
 -0.7846036  -1.10244966]",['Shut' 'your' 'smart' 'foul' 'mouth' 'and' 'sit' 'down']
78,"[9.1492691  1.59769893 2.15947819 7.30076551 1.234496   1.70412481
 2.64210272 8.22326469]","[7.01057673 3.87588835 3.23617268 3.23455048 4.3040905  3.18465328
 4.13762283 8.31008434]","[ 2.13869238 -2.27818942 -1.07669449  4.06621504 -3.06959438 -1.48052847
 -1.49552011 -0.08681965]",['Tell' 'me' 'what' 'really' 'happened' 'to' 'the' 'truck']
79,"[3.27810311 9.16176796 2.60695648 2.51934052 2.00898695 9.65311241
 4.64234018 2.09432316]","[7.01057673 8.55311584 3.99749422 4.49611187 3.16890693 5.43498516
 6.93749619 2.81045413]","[-3.73247361  0.60865211 -1.39053774 -1.97677135 -1.15991998  4.21812725
 -2.295156   -0.71613097]",['The' 'door' 'was' 'opened' 'and' 'Alexander' 'walked' 'out']
80,"[ 5.56072235  2.9118309  13.27325726  4.29093027  1.66084468  4.07759047
  2.15890718  7.6889205 ]","[7.01057673 2.22056556 5.5698328  4.31324959 2.85101891 6.39210129
 3.0640955  3.56648469]","[-1.44985437  0.69126534  7.70342445 -0.02231932 -1.19017422 -2.31451082
 -0.90518832  4.12243557]",['There' 'were' 'choked' 'screams' 'and' 'shouts' 'of' 'dismay']
81,"[5.56072235 4.23384857 0.30865219 8.59440422 4.80568886 4.21306705
 9.16331482 3.8378005 ]","[7.01057673 2.22056556 1.47741652 4.52349567 4.17795658 6.02208138
 3.74940777 5.60791922]","[-1.44985437  2.01328301 -1.16876435  4.07090855  0.62773228 -1.80901432
  5.41390705 -1.77011871]",['There' 'will' 'be' 'men' 'to' 'kill' 'either' 'way']
82,"[6.51347351 2.65359187 7.147295   7.4967041  3.48921919 9.78974056
 1.28553903 3.34878802]","[7.01057673 4.95349932 7.14423847 6.52195549 4.03378057 3.31268358
 3.67011547 7.57159662]","[-4.97103214e-01 -2.29990745e+00  3.05652618e-03  9.74748611e-01
 -5.44561386e-01  6.47705698e+00 -2.38457632e+00 -4.22280884e+00]",['They' 'were' 'definitely' 'holding' 'hands' 'underneath' 'the' 'table']
