id,surprisal,entropy,deviation,tokens
15,[8.43794823 9.32974815 1.2380029  9.87065315 2.86293221 7.31893158],[6.67008877 5.87025261 4.34116936 5.81383228 2.59706926 5.5221653 ],[ 1.76785946  3.45949554 -3.10316658  4.05682087  0.26586294  1.79676628],['Five' 'will' 'be' 'listening' 'for' 'sure']
16,[10.56115723 10.34044647  3.18893456  5.80218315  4.80067682  2.05996895],[6.67008877 6.08626747 4.81614876 6.42006969 4.88380432 2.88724351],[ 3.89106846  4.254179   -1.62721419 -0.61788654 -0.0831275  -0.82727456],['Gordon' 'felt' 'his' 'anger' 'build' 'up']
17,[8.05140686 8.35174179 2.04347229 1.97905922 4.65464783 0.9738667 ],[6.67008877 5.0384016  3.25554752 3.10386419 5.66377831 2.92430162],[ 1.38131809  3.31334019 -1.21207523 -1.12480497 -1.00913048 -1.95043492],['Harry' 'smiled' 'at' 'his' 'little' 'brother']
18,[ 5.71849632  7.95714092 11.60346889  1.67764246  2.2698741   0.83940995],[6.67008877 5.28491545 3.68079519 3.34839153 3.878088   4.39553881],[-0.95159245  2.67222548  7.9226737  -1.67074907 -1.6082139  -3.55612898],['He' 'needed' 'putting' 'in' 'his' 'place']
19,[ 5.71849632  9.31697369  3.09069014  5.42058945 11.54866982  4.48076248],[6.67008877 5.28491545 3.71154571 5.1888237  6.47720242 4.34769821],[-0.95159245  4.03205824 -0.62085557  0.23176575  5.0714674   0.13306427],['He' 'shouted' 'and' 'the' 'calling' 'ceased']
20,[5.71849632 7.38957024 1.85452747 7.71131945 4.73709297 4.82433605],[6.67008877 5.28491545 4.61171484 7.42628956 2.62534475 4.09904575],[-0.95159245  2.10465479 -2.75718737  0.28502989  2.11174822  0.7252903 ],['He' 'uses' 'his' 'belt' 'on' 'you']
21,[7.89723802 8.45718193 2.90495729 6.14392185 8.65410614 2.08809233],[6.67008877 5.34488249 4.97793627 4.92992592 3.11031389 3.56473684],[-0.95159245  3.11229944 -2.07297897  1.21399593  5.54379225 -1.47664452],"[""He's"" 'broken' 'his' 'wrists' 'very' 'badly']"
22,[4.22613811 2.77866387 9.67967415 6.41585875 5.87545347 8.15283775],[6.67008877 4.87039852 5.24837971 2.08193874 0.78992414 3.45705819],[-2.44395065 -2.09173465  4.43129444  4.33392     5.08552933  4.6957798 ],['I' 'am' 'touched' 'deeply' 'in' 'places']
23,[4.22613811 3.51775418 3.05683899 0.21297151 4.09891033 2.23336887],[6.67008877 4.87039852 3.25869751 1.36363113 5.22342014 3.2832489 ],[-2.44395065 -1.35504365 -0.20185852 -1.15065956 -1.12450981 -1.04988003],"['I' ""don't"" 'want' 'to' 'hear' 'it']"
24,[4.22613811 6.10312653 1.79156518 8.27664566 6.24891949 1.18489766],[6.67008877 4.87039852 4.10111332 2.75295877 3.88281107 4.87240601],[-2.44395065  1.232728   -2.30954814  5.52368689  2.36610842 -3.68750834],['I' 'knew' 'I' 'heard' 'your' 'voice']
25,[4.22613811 6.8492906  3.4424963  0.27953687 5.10738182 1.32063782],[6.67008877 4.87039852 4.17605495 1.61157084 4.54051542 3.20366716],[-2.44395065  1.97681522 -0.73355865 -1.33203399  0.5668664  -1.88302934],"['I' ""wouldn't"" 'want' 'to' 'miss' 'this']"
26,[ 8.8382082  10.40829659  2.50853109  0.41691226  0.80002815  2.07498336],[6.67008877 6.27342844 3.57911825 1.46572137 3.49796724 6.28259611],[ 2.16811943  4.13486814 -1.07058716 -1.04880905 -2.69793916 -4.20761299],['Jack' 'walked' 'up' 'to' 'the' 'door']
27,[10.6543417   8.40120316  3.36825681  1.82112479  1.87319767  8.8807655 ],[6.67008877 6.14528227 3.05080271 2.31117487 2.72890329 5.4589262 ],[ 3.98425293  2.25592089  0.3174541  -0.49005008 -0.85570562  2.68615055],['Ross' 'sat' 'back' 'down' 'and' 'shivered']
28,[6.89582729 6.66509957 2.94486785 6.63493967 6.40324545 7.38842058],[6.67008877 5.24670744 4.70200062 2.30232882 3.95458937 4.08247471],[ 0.22573853  1.41763067 -1.75713277  4.33261108  2.44865608  3.30594587],"['She' ""couldn't"" 'help' 'feel' 'for' 'Alex']"
29,[ 2.47909188 13.09301567  5.22771549  6.74925709  5.93331814  7.19661236],[6.67008877 8.3779459  6.61975574 7.26906681 5.73868275 5.73613644],[-4.19099712  4.71506977 -1.39204025 -0.51980972  0.19463539  1.46047592],['The' 'bored' 'looking' 'soldier' 'just' 'pointed']
30,[2.47909188 7.50992441 4.56406403 6.50170755 0.94663912 5.03478336],[6.67008877 8.3779459  4.31314468 4.51854706 3.74380302 5.26715517],[-4.19099712 -0.86802149  0.25091934  1.9831605  -2.79716396 -0.23237181],['The' 'campaign' 'will' 'pay' 'for' 'itself']
31,[8.69660759 7.85868788 3.8759346  5.48863649 4.36754656 4.88957071],[6.67008877 6.14000845 4.38466644 3.13277769 5.44220781 4.64036274],[-0.03007793  1.71867943 -0.50873184  2.3558588  -1.07466125  0.24920797],"[""They're"" 'riding' 'out' 'to' 'meet' 'them']"
32,[4.81054497 9.75512791 6.22461033 2.57766151 0.56909329 0.11154428],[6.67008877 4.68693352 4.01813602 4.44005871 2.36579227 0.96020949],[-1.8595438   5.06819439  2.2064743  -1.86239719 -1.79669905 -0.84866524],['We' 'barely' 'escaped' 'with' 'our' 'lives']
33,[6.96112609 1.94397175 8.81552124 6.89433098 4.32853127 4.08690166],[6.67008877 4.28845882 5.62080145 3.52912378 4.23214817 2.31750584],[-1.8595438  -2.34448719  3.19471979  3.3652072   0.09638309  1.76939583],"[""We've"" 'been' 'travelling' 'almost' 'three' 'days']"
34,"[9.66698074 4.15261698 5.24168539 0.62380689 6.33086395 0.64280766
 2.56817961]","[6.67008877 6.72361755 4.59387302 2.18573165 3.43189931 2.68727922
 4.26814651]","[ 2.99689198 -2.57100058  0.64781237 -1.5619247   2.89896464 -2.0444715
 -1.69996691]",['Alice' 'is' 'looking' 'for' 'somewhere' 'to' 'live']
35,"[ 9.11606979 14.62770367  0.93860495  6.47574902  6.37797403  3.88718987
  0.59184414]","[6.67008877 6.66952419 2.68719292 5.11502934 3.53554916 2.78053951
 1.62010002]","[ 2.44598103  7.95817947 -1.74858797  1.36071968  2.84242487  1.10665035
 -1.02825594]",['Alan' 'forgot' 'to' 'shave' 'again' 'this' 'morning']
36,"[ 7.04668427  2.50313592 11.2304163   7.35549927  1.88938701  5.04427052
  7.8049159 ]","[6.67008877 2.00840092 5.49674129 4.93700743 2.61253452 0.94960511
 2.67464304]","[ 0.3765955   0.494735    5.733675    2.41849184 -0.72314751  4.09466553
  5.13027287]",['Have' 'a' 'carriage' 'sent' 'for' 'us' 'immediately']
37,"[5.71849632 6.99554634 2.81810279 2.50641775 4.40284109 0.31720859
 1.16720366]","[6.67008591 5.28491449 4.41552162 3.72067833 1.73870921 1.83109939
 3.07645679]","[-0.95158958  1.71063185 -1.5981741  -1.21426058  2.66413188 -1.51389074
 -1.90925312]","['He' 'probably' ""doesn't"" 'want' 'people' 'to' 'know']"
38,"[5.71849632 6.7595005  2.24658418 8.45890236 3.06307626 0.80285782
 1.23428369]","[6.67008877 5.28491545 4.10345316 7.9733448  2.27421618 2.85323858
 5.26429272]","[-0.95159245  1.47458506 -1.85686898  0.48555756  0.78886008 -2.05038071
 -4.03000927]",['He' 'put' 'the' 'fork' 'on' 'the' 'table']
39,"[8.72295856 3.6643796  3.8379662  5.49050379 2.09042454 1.52398944
 5.21872234]","[6.67008591 4.06138039 2.63410473 3.00147223 2.66055059 3.86017561
 4.98595333]","[-2.44394779 -0.39700079  1.20386147  2.48903155 -0.57012606 -2.33618617
  0.23276901]","[""I'll"" 'give' 'him' 'more' 'than' 'a' 'slap']"
40,"[ 8.04601669 12.37665844  2.15181065  4.58488083  7.32611942  0.12178247
  5.12219381]","[6.67008877 6.20798922 3.43832827 5.62097359 2.38580227 0.64804459
 2.81016445]","[ 1.37592793  6.16866922 -1.28651762 -1.03609276  4.94031715 -0.5262621
  2.31202936]",['Andrew' 'nodded' 'and' 'stood' 'against' 'the' 'counter']
41,"[9.39354134 0.2427265  2.84141135 8.28520012 9.59492683 1.59598887
 0.19878131]","[6.67008877 1.6297735  5.43376207 7.44004059 3.07824683 3.98526216
 1.41022336]","[ 2.72345257 -1.38704705 -2.59235072  0.84515953  6.51667976 -2.38927317
 -1.21144199]",['Looks' 'like' 'a' 'walk' 'did' 'the' 'trick']
42,"[ 8.35907841 11.0768795   6.65893555  3.13903236  0.69599354  5.09837008
  2.34437084]","[6.67008877 5.87138176 4.7356329  2.52663422 2.7726295  4.89470005
 2.77659774]","[ 1.68898964  5.20549774  1.92330265  0.61239815 -2.07663584  0.20367002
 -0.4322269 ]",['Sam' 'felt' 'proud' 'when' 'he' 'went' 'home']
43,"[8.37922382 9.51049805 3.46015215 1.39632118 7.85711479 0.61812264
 6.43054676]","[6.67008877 5.79777718 4.47353172 3.03562903 4.03131485 2.03891253
 1.70746303]","[ 1.70913506  3.71272087 -1.01337957 -1.63930786  3.82579994 -1.42078996
  4.7230835 ]",['Scott' 'got' 'up' 'and' 'washed' 'his' 'plate']
44,"[ 9.1266222  11.72748089  2.32432222  3.92897153  3.32712269  0.18749301
  1.82815599]","[6.67008877 6.7401433  3.2198813  5.68304253 3.29454565 1.03397012
 5.5688324 ]","[ 2.45653343  4.98733759 -0.89555907 -1.754071    0.03257704 -0.84647709
 -3.7406764 ]",['Simon' 'nodded' 'and' 'walked' 'into' 'the' 'room']
45,"[ 7.82173157 10.45857525  0.74817371  2.25094938  4.44851685  2.20546436
  1.50072432]","[6.67008877 6.53768826 2.58131814 1.74400926 4.72114372 3.50753951
 4.3543396 ]","[ 1.1516428   3.92088699 -1.83314443  0.50694013 -0.27262688 -1.30207515
 -2.85361528]",['Steve' 'sat' 'down' 'to' 'eat' 'his' 'lunch']
46,"[9.25251007e+00 1.26673965e+01 2.07019377e+00 7.58156681e+00
 4.27319676e-01 3.13424134e+00 2.00797059e-03]","[6.67008877 3.51838875 3.2950604  5.07829762 1.85313153 1.33535981
 0.02080083]","[ 2.5824213   9.1490078  -1.22486663  2.5032692  -1.42581189  1.79888153
 -0.01879286]",['Ted' 'smiled' 'and' 'bit' 'his' 'bottom' 'lip']
47,"[ 8.57681656 11.92580986  2.58285618  2.24288559  5.52935934  0.11479474
  0.04096603]","[6.67008877 6.68036127 3.03145552 2.7638309  5.22261381 0.84292501
 0.36778575]","[ 1.90672779  5.24544859 -0.44859934 -0.52094531  0.30674553 -0.72813028
 -0.32681972]",['Thomas' 'stepped' 'back' 'and' 'shook' 'his' 'head']
48,"[ 7.82004547 11.84130955  1.34399319  1.25454056  5.56489468  0.82939953
  8.62343788]","[6.67008877 5.9225893  3.44111729 2.68950844 5.10240602 1.87238765
 3.12699795]","[ 1.1499567   5.91872025 -2.0971241  -1.43496788  0.46248865 -1.04298806
  5.49643993]",['Tom' 'stood' 'up' 'and' 'wiped' 'his' 'jeans']
49,"[ 8.3830862  10.63679123  3.42085409  0.73647672  3.32307911  4.74806023
  9.21839619]","[6.67008877 5.33677864 3.80389261 2.05697656 4.71839952 4.7594347
 7.26356888]","[ 1.71299744  5.30001259 -0.38303852 -1.3204999  -1.39532042 -0.01137447
  1.95482731]",['Tony' 'stopped' 'off' 'at' 'his' 'first' 'delivery']
50,"[9.87470531 6.11502028 6.17494202 0.53338569 6.50510883 5.12665606
 3.93662167]","[6.67008877 3.03128958 4.75239277 2.65317154 5.5892663  4.80252361
 3.84629154]","[ 3.20461655  3.0837307   1.42254925 -2.11978579  0.91584253  0.32413244
  0.09033012]",['Normally' 'they' 'want' 'to' 'cut' 'things' 'up']
51,"[10.71467054  6.49561119  2.04192185  8.02521801  0.90928812  6.48764801
  3.95237279]","[6.67008591 7.87423801 6.12878513 7.08409882 0.21206763 5.75490475
 5.1841898 ]","[ 2.10253048 -1.37862682 -4.08686352  0.94111919 -0.18406267  0.73274326
 -1.23181701]","['Powerful' 'in' 'the' 'wrong' 'hands,' 'is' 'that']"
52,"[6.89582729 3.50828385 7.55916834 0.36610001 3.54111147 1.54775786
 1.66654372]","[6.67008877 5.24670744 5.02699709 2.13054299 5.24523067 3.22789288
 5.16884279]","[ 0.22573853 -1.73842359  2.53217125 -1.76444292 -1.70411921 -1.68013501
 -3.50229907]",['She' 'had' 'refused' 'to' 'leave' 'her' 'home']
53,"[6.89582729 8.79138851 2.20549536 7.60894537 2.90305567 9.78617001
 7.53316021]","[6.67008877 5.24670744 3.47791767 7.50417519 3.28742981 6.62921238
 3.21587968]","[ 0.22573853  3.54468107 -1.27242231  0.10477018 -0.38437414  3.15695763
  4.31728077]",['She' 'hid' 'the' 'boxes' 'and' 'matches' 'well']
54,"[ 2.47909188 13.09301567  5.22771549  6.74925709  7.89668274  4.92385244
  8.02314186]","[6.67008877 8.3779459  6.61975574 7.26906681 5.73868275 3.58025956
 2.48467875]","[-4.19099712  4.71506977 -1.39204025 -0.51980972  2.15799999  1.34359288
  5.53846312]",['The' 'bored' 'looking' 'soldier' 'continued' 'looking' 'bored']
55,"[2.47909188e+00 9.04785824e+00 6.66704035e+00 2.42624569e+00
 9.38860035e+00 7.13403940e-01 5.72683569e-03]","[6.67008877 8.3779459  5.75352955 2.85324192 3.19834375 2.742733
 0.06905758]","[-4.19099712  0.66991234  0.9135108  -0.42699623  6.1902566  -2.02932906
 -0.06333074]",['The' 'dead' 'must' 'not' 'kill' 'the' 'living']
56,"[2.47909188 9.94374752 4.13966084 6.54272461 6.17091179 0.28406692
 5.74822903]","[6.67008877 8.3779459  5.89533663 4.24514723 3.3000834  1.43418849
 5.69808769]","[-4.19099712  1.56580162 -1.75567579  2.29757738  2.87082839 -1.15012157
  0.05014133]",['The' 'prison' 'guard' 'walked' 'along' 'the' 'row']
57,"[ 2.47909141 10.45676899  2.89898729  7.29476929 11.14692473  7.51935673
  5.26384735]","[6.67008591 8.37794495 5.76156235 5.82032537 6.16980839 4.30827332
 2.15795612]","[-4.19099426  2.07882404 -2.86257505  1.47444391  1.60082102  3.21108341
  3.10589123]","['The' 'van' 'is' 'your' 'lead,' 'follow' 'that']"
58,"[8.1674099  4.82454777 5.05730534 1.9488833  2.98826027 0.06279205
 0.0242972 ]","[6.67008591 5.40499973 5.20532036 3.35470724 2.95241261 0.52025557
 0.21020055]","[-1.37958241 -0.58045197 -0.14801502 -1.40582395  0.03584766 -0.4574635
 -0.18590334]","[""You're"" 'getting' 'up' 'early' 'in' 'the' 'morning']"
59,"[ 5.95057106  8.88946152  3.92133904  2.8466301   3.83217549  1.88614821
  1.53034461 11.08918476]","[6.67008591 5.76793146 3.10692763 5.42733479 6.08568478 2.64804506
 2.37152314 3.44923019]","[-0.71951485  3.12153006  0.8144114  -2.58070469 -2.25350928 -0.76189685
 -0.84117854  7.63995457]",['After' 'lunch' 'he' 'was' 'told' 'he' 'had' 'visitors']
60,"[9.17096710e+00 1.01486359e+01 5.22944546e+00 1.13230610e+01
 7.80605173e+00 1.97297502e+00 1.36056209e+00 1.09488200e-02]","[6.67008591 2.53754592 3.31282878 4.13243961 3.70283175 4.43890619
 4.52282906 0.09830582]","[ 2.5008812   7.61108971  1.91661668  7.19062138  4.10321999 -2.46593118
 -3.16226697 -0.087357  ]",['Albert' 'spoke' 'before' 'Barbara' 'had' 'a' 'chance' 'to']
61,"[8.59506226 8.41232204 2.9956038  4.17522478 5.9577179  5.247509
 0.41784993 8.4110899 ]","[6.67008591 4.84071732 4.36737347 6.94064903 0.70422024 4.84773016
 2.39418936 6.60842371]","[ 1.92497635  3.57160473 -1.37176967 -2.76542425  5.2534976   0.39977884
 -1.97633946  1.80266619]",['Come' 'within' 'the' 'walls' 'to' 'escape' 'the' 'enemy']
62,"[ 7.61319447  3.31925845 10.66059589  2.60595393  4.98880529  3.12003708
  6.73357296  7.23324251]","[6.67008591 4.37747669 1.16667807 3.40993547 2.43820572 3.14848161
 5.15777779 7.44634819]","[ 0.94310856 -1.05821824  9.49391747 -0.80398154  2.55059958 -0.02844453
  1.57579517 -0.21310568]",['Follow' 'me' 'closely' 'and' 'watch' 'for' 'their' 'leader']
63,"[5.71849632 5.98163986 3.60032415 8.98178005 4.41878939 2.93911839
 0.0897679  4.57226372]","[6.67008591 5.28491449 4.01981783 5.13445473 5.0914793  4.32803345
 0.59016347 3.55437708]","[-0.95158958  0.69672537 -0.41949368  3.84732533 -0.67268991 -1.38891506
 -0.5003956   1.01788664]",['He' 'called' 'out' 'but' 'she' 'did' 'not' 'move']
64,"[5.71849632 6.66139603 1.7685616  2.24201298 3.22033048 0.51799417
 4.41724586 5.94983101]","[6.67008591 5.28491449 3.65022898 3.08956909 5.43359089 2.93036747
 5.43045616 3.25620317]","[-0.95158958  1.37648153 -1.88166738 -0.84755611 -2.21326041 -2.4123733
 -1.0132103   2.69362783]",['He' 'sat' 'down' 'and' 'began' 'to' 'eat' 'breakfast']
65,"[ 5.71849632  9.3386488   0.91593897 10.27363682  6.94716406  1.11087203
  0.45449665 11.96010399]","[6.67008591 5.28491449 4.45829439 6.78130817 3.13521004 2.79842067
 1.92916107 4.37172318]","[-0.95158958  4.0537343  -3.54235554  3.49232864  3.81195402 -1.68754864
 -1.47466445  7.58838081]",['He' 'slammed' 'the' 'knife' 'down' 'on' 'the' 'lamb']
66,"[ 5.71849632 12.03880692  2.70430875  0.48994857  7.26065063  3.54984546
  2.76455069  0.98537368]","[6.67008591 5.28491449 3.7865603  2.64661694 6.188272   3.17635822
 2.64504671 4.18166447]","[-0.95158958  6.75389242 -1.08225155 -2.15666842  1.07237864  0.37348723
  0.11950397 -3.19629073]",['He' 'staggered' 'into' 'the' 'chair' 'at' 'his' 'desk']
67,"[ 4.22613811  5.41942406  0.60543865 11.46153927  1.85613     6.81571341
  7.58687496 10.34519863]","[6.67008591 4.87039661 2.89414883 4.45118952 4.19138288 7.78184795
 3.10746288 4.80703211]","[-2.44394779  0.54902744 -2.28871012  7.01034975 -2.33525276 -0.96613455
  4.47941208  5.53816652]",['I' 'do' 'not' 'spare' 'the' 'birds' 'a' 'killing']
68,"[ 4.22613811  3.82724261  5.80850458 10.07628012 10.44159317  1.15604329
  4.74249697  2.99418664]","[6.67008591 4.87039661 4.00496101 7.53565407 7.45152378 3.34960508
 4.87088346 3.31511021]","[-2.44394779 -1.043154    1.80354357 -2.20479727  2.99006939 -2.19356179
 -0.1283865  -0.32092357]","['I' 'think' 'our' ""friend's"" 'demands' 'are' 'well' 'justified']"
69,"[6.71778393 2.63066554 6.57362461 5.05977488 6.30690765 2.60592937
 2.31100631 1.80050659]","[6.67008591 1.82268953 5.21453571 3.95543218 7.48606205 6.12367916
 2.77580929 3.81130886]","[ 0.04769802  0.80797601  1.3590889   1.1043427  -1.1791544  -3.51774979
 -0.46480298 -2.01080227]",['Let' 'us' 'leave' 'these' 'poor' 'people' 'in' 'peace']
70,"[10.36710048  9.78599167  1.02686334  1.91594362  1.69648385  3.82226419
  0.72375864  3.15954113]","[6.67008591 6.38947487 2.86485529 5.90586042 2.99178314 5.28821468
 2.20904255 2.71894717]","[ 2.52710915  3.3965168  -1.83799195 -3.9899168  -1.29529929 -1.46595049
 -1.48528385  0.44059396]",['Walter' 'closed' 'the' 'door' 'and' 'took' 'a' 'breath']
71,"[8.84481144 9.91739464 1.59472966 2.42023206 8.79998779 2.23731446
 1.37882209 4.54892302]","[6.67008591 6.5865984  3.46004391 2.70671129 5.37179756 2.36325216
 2.36768579 6.24405003]","[ 2.17472553  3.33079624 -1.86531425 -0.28647923  3.42819023 -0.1259377
 -0.98886371 -1.69512701]",['William' 'sat' 'down' 'and' 'tucked' 'into' 'his' 'breakfast']
72,"[ 9.98915207 10.67980671  5.77635002  0.31433797  0.97120309  4.69753885
  5.15192795  0.26177013]","[6.67008591 3.75021791 3.67788148 1.65244865 5.08827925 2.76139927
 4.74330235 1.0512886 ]","[ 2.16385269  6.92958879  2.09846854 -1.33811069 -4.11707592  1.93613958
  0.4086256  -0.78951848]",['Alec' 'stood' 'against' 'the' 'wall' 'to' 'steady' 'himself']
73,"[12.40405214  4.83718252  3.72189283  6.32470894  5.00471926  5.80450201
  1.54488468  4.72495461]","[6.67008591 4.49129295 4.37591028 5.03725624 2.94247103 2.68458271
 4.40977001 7.11713123]","[-0.43881893  0.34588957 -0.65401745  1.2874527   2.06224823  3.1199193
 -2.86488533 -2.39217663]",['No-one' 'else' 'had' 'dared' 'step' 'within' 'the' 'ring']
74,"[ 8.73428249  0.865273    0.8129577   7.18762779  9.24601173 10.49416637
  1.66891229  3.06116891]","[6.67008591 2.60293198 2.2602098  7.53060246 1.10823321 5.26642513
 3.37370372 6.31341076]","[ 2.06419659 -1.73765898 -1.44725204 -0.34297466  8.13777828  5.22774124
 -1.70479143 -3.25224185]",['None' 'of' 'the' 'city' 'people' 'dress' 'like' 'that']
75,"[ 6.89582825  6.71426249  1.65276527 11.28587151  2.39922476  2.06878996
  2.16357303  0.51744461]","[6.67008591 5.24670887 4.44629383 7.96525812 4.47848129 3.58782887
 2.6811223  2.09700465]","[ 0.22574234  1.46755362 -2.79352856  3.32061338 -2.07925653 -1.51903892
 -0.51754928 -1.57956004]",['She' 'saw' 'the' 'throwing' 'knife' 'in' 'his' 'hand']
76,"[6.89582825 2.22822905 7.7043829  3.58509731 0.98713648 6.26042557
 8.51787663 3.52878857]","[6.67008591 5.24670887 6.06365347 3.42515326 3.09445739 6.53813934
 5.77392817 4.82494545]","[ 0.22574234 -3.01847982  1.64072943  0.15994406 -2.10732079 -1.41263008
  2.74394846 -1.29615688]","['She' 'was' 'smiling' 'in' 'the' 'dark,' 'teeth' 'flashing']"
77,"[10.1851635   4.48966837  8.40652084 13.66945457  3.77321959  1.64837325
  4.89567804  1.05905676]","[6.67008591 3.07394481 5.87589455 3.37806082 3.38708448 3.61463857
 5.76575994 1.8403163 ]","[ 3.51507759  1.41572356  2.5306263  10.29139328  0.3861351  -1.96626532
 -0.8700819  -0.78125954]",['Shut' 'your' 'smart' 'foul' 'mouth' 'and' 'sit' 'down']
78,"[8.47552872 1.93051291 2.54651356 7.04885674 0.7168045  1.99300826
 1.87340808 7.73964977]","[6.67008591 3.29744053 3.37528706 2.8838892  3.09710312 3.35411596
 5.42470694 8.0512886 ]","[ 1.80544281 -1.36692762 -0.8287735   4.16496754 -2.38029861 -1.36110771
 -3.55129886 -0.31163883]",['Tell' 'me' 'what' 'really' 'happened' 'to' 'the' 'truck']
79,"[2.47909141 9.16537666 2.29238653 2.40130162 2.46288395 9.79320621
 4.9205966  1.98942041]","[6.67008591 8.37794495 3.65559149 4.30398655 3.48430252 5.33837414
 7.16049862 1.87591827]","[-4.19099426  0.78743172 -1.36320496 -1.90268493 -1.02141857  4.45483208
 -2.23990202  0.11350214]",['The' 'door' 'was' 'opened' 'and' 'Alexander' 'walked' 'out']
80,"[ 5.35550022  3.35084677 14.2065773   3.31567574  1.26866019  4.09945774
  1.65099931  5.35721636]","[6.67008591 2.13072443 5.10417652 5.01993227 2.65355062 6.04384613
 2.84167647 3.57336807]","[-1.31458569  1.22012234  9.10240078 -1.70425653 -1.38489044 -1.94438839
 -1.19067717  1.78384829]",['There' 'were' 'choked' 'screams' 'and' 'shouts' 'of' 'dismay']
81,"[5.35550022 4.19194269 0.19221888 9.25880337 5.02323437 4.82478523
 9.74338245 0.88648474]","[6.67008591 2.13072443 1.07478809 3.78919578 3.63648152 5.90064144
 3.11183715 3.41954303]","[-1.31458569  2.06121826 -0.88256919  5.46960735  1.38675284 -1.07585621
  6.63154507 -2.53305817]",['There' 'will' 'be' 'men' 'to' 'kill' 'either' 'way']
82,"[6.64001274 2.79723692 7.42171097 6.98637295 2.40122795 7.79120636
 0.62542182 3.56162333]","[6.67008591 4.70965528 6.68456459 6.29224873 3.9321413  3.28579831
 2.58408237 6.82045746]","[-0.03007317 -1.91241837  0.73714638  0.69412422 -1.53091335  4.50540829
 -1.9586606  -3.25883412]",['They' 'were' 'definitely' 'holding' 'hands' 'underneath' 'the' 'table']
